normalized_task_text,original_task_text,n_socs,soc_codes
initiate facilitate and moderate classroom discussions,"Initiate, facilitate, and moderate classroom discussions.",33,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
advise students on academic and vocational curricula and on career issues,Advise students on academic and vocational curricula and on career issues.,32,25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
perform administrative duties such as serving as department head,"Perform administrative duties, such as serving as department head.",32,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00
participate in campus and community events,Participate in campus and community events.,32,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
prepare course materials such as syllabi homework assignments and handouts,"Prepare course materials, such as syllabi, homework assignments, and handouts.",32,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
conduct research in a particular field of knowledge and publish findings in professional journals books or electronic media,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",29,25-1011.00; 25-1021.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
keep abreast of developments in the field by reading current literature talking with colleagues and participating in professional conferences,"Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",29,25-1021.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1123.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
provide professional consulting services to government or industry,Provide professional consulting services to government or industry.,29,25-1011.00; 25-1021.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1192.00; 25-1193.00
plan evaluate and revise curricula course content course materials and methods of instruction,"Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",22,25-1054.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
evaluate and grade students class work assignments and papers,"Evaluate and grade students' class work, assignments, and papers.",21,25-1011.00; 25-1022.00; 25-1043.00; 25-1051.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1067.00; 25-1071.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1113.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1193.00
select and obtain materials and supplies such as textbooks,"Select and obtain materials and supplies, such as textbooks.",18,25-1011.00; 25-1022.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
select and obtain materials and supplies such as textbooks and laboratory equipment,"Select and obtain materials and supplies, such as textbooks and laboratory equipment.",13,25-1021.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1067.00; 25-1071.00; 25-1072.00
plan evaluate and revise curricula course content and course materials and methods of instruction,"Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.",12,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1061.00
attend staff meetings and serve on committees as required,Attend staff meetings and serve on committees as required.,12,25-2011.00; 25-2012.00; 25-2021.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00; 25-3011.00; 25-3021.00; 25-9042.00; 25-9043.00
use computers audiovisual aids and other equipment and materials to supplement presentations,"Use computers, audio-visual aids, and other equipment and materials to supplement presentations.",12,25-2012.00; 25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00; 25-3011.00; 25-3021.00; 25-9042.00; 25-9043.00
plan and conduct activities for a balanced program of instruction demonstration and work time that provides students with opportunities to observe question and investigate,"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",11,25-2011.00; 25-2012.00; 25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00; 25-3011.00; 25-3021.00
observe and evaluate students performance behavior social development and physical health,"Observe and evaluate students' performance, behavior, social development, and physical health.",10,25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2051.00; 25-2055.00; 25-2056.00; 25-2057.00; 25-2058.00
provide students with disabilities with assistive devices supportive technology and assistance accessing facilities such as restrooms,"Provide students with disabilities with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.",10,21-1012.00; 25-2011.00; 25-2012.00; 25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-3011.00; 25-9043.00
prepare reports on students and activities as required by administration,Prepare reports on students and activities as required by administration.,9,21-1012.00; 25-2011.00; 25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2051.00; 25-3011.00
prepare objectives and outlines for courses of study following curriculum guidelines or requirements of states and schools,"Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.",9,25-2012.00; 25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00; 25-3011.00
attend professional meetings educational conferences and teacher training workshops to maintain and improve professional competence,"Attend professional meetings, educational conferences, and teacher training workshops to maintain and improve professional competence.",9,25-2011.00; 25-2012.00; 25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00
prepare materials and classrooms for class activities,Prepare materials and classrooms for class activities.,9,25-2011.00; 25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2057.00; 25-2058.00; 25-3011.00; 25-3021.00
confer with other staff members to plan and schedule lessons promoting learning following approved curricula,"Confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.",9,25-2011.00; 25-2012.00; 25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00
meet with other professionals to discuss individual students needs and progress,Meet with other professionals to discuss individual students' needs and progress.,9,25-2011.00; 25-2012.00; 25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2058.00; 25-3011.00
prepare and implement remedial programs for students requiring extra help,Prepare and implement remedial programs for students requiring extra help.,8,25-2011.00; 25-2012.00; 25-2021.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-3011.00; 25-3021.00
prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors,Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.,8,25-2012.00; 25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2057.00; 25-2058.00; 25-3011.00
perform administrative duties such as school library assistance hall and cafeteria monitoring and bus loading and unloading,"Perform administrative duties, such as school library assistance, hall and cafeteria monitoring, and bus loading and unloading.",8,25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2055.00; 25-2057.00; 25-2058.00
establish clear objectives for all lessons units and projects and communicate those objectives to students,"Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.",8,25-2021.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00; 25-3011.00; 25-3021.00
select store order issue and inventory classroom equipment materials and supplies,"Select, store, order, issue, and inventory classroom equipment, materials, and supplies.",7,25-2011.00; 25-2012.00; 25-2021.00; 25-2022.00; 25-2031.00; 25-2057.00; 25-2058.00
instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage,Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,7,25-2012.00; 25-2021.00; 25-2023.00; 25-2057.00; 25-2058.00; 25-9042.00; 25-9043.00
confer with parents or guardians other teachers counselors and administrators to resolve students behavioral and academic problems,"Confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems.",7,25-2012.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00
evaluate and grade students class work laboratory work assignments and papers,"Evaluate and grade students' class work, laboratory work, assignments, and papers.",7,25-1021.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1053.00; 25-1054.00; 25-1066.00
establish and enforce rules for behavior and procedures for maintaining order among students,Establish and enforce rules for behavior and procedures for maintaining order among students.,7,25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2051.00; 25-2055.00; 25-2056.00
write letters of recommendation for students,Write letters of recommendation for students.,7,25-1052.00; 25-1053.00; 25-1061.00; 25-1066.00; 25-1111.00; 25-1123.00; 25-1124.00
prepare administer and grade tests and assignments to evaluate students progress,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",7,25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00
supervise students laboratory work,Supervise students' laboratory work.,6,25-1021.00; 25-1032.00; 25-1042.00; 25-1052.00; 25-1054.00; 25-1066.00
plan and supervise class projects field trips visits by guest speakers or other experiential activities and guide students in learning from those activities,"Plan and supervise class projects, field trips, visits by guest speakers or other experiential activities, and guide students in learning from those activities.",6,25-2021.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00
assign and grade class work and homework,Assign and grade class work and homework.,6,25-2021.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-3011.00; 25-3021.00
sponsor extracurricular activities such as clubs student organizations and academic contests,"Sponsor extracurricular activities, such as clubs, student organizations, and academic contests.",6,21-1012.00; 25-2021.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2058.00
adapt teaching methods and instructional materials to meet students varying needs and interests,Adapt teaching methods and instructional materials to meet students' varying needs and interests.,6,25-2011.00; 25-2021.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-3021.00
meet with parents and guardians to discuss their childrens progress and to determine priorities for their children and their resource needs,Meet with parents and guardians to discuss their children's progress and to determine priorities for their children and their resource needs.,6,25-2021.00; 25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00
enforce all administration policies and rules governing students,Enforce all administration policies and rules governing students.,5,25-2011.00; 25-2022.00; 25-2023.00; 25-2031.00; 25-2032.00
prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks,Prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks.,5,25-2021.00; 25-2022.00; 25-2031.00; 25-2032.00; 25-2058.00
maintain accurate and complete student records as required by laws district policies and administrative regulations,"Maintain accurate and complete student records as required by laws, district policies, and administrative regulations.",5,21-1012.00; 25-2011.00; 25-2021.00; 25-2023.00; 25-2031.00
supervise evaluate and plan assignments for teacher assistants and volunteers,"Supervise, evaluate, and plan assignments for teacher assistants and volunteers.",5,25-2011.00; 25-2012.00; 25-2021.00; 25-2022.00; 25-2057.00
organize and supervise games and other recreational activities to promote physical mental and social development,"Organize and supervise games and other recreational activities to promote physical, mental, and social development.",5,25-2022.00; 25-2057.00; 25-3021.00; 25-9042.00; 25-9043.00
guide and counsel students with adjustments academic problems or special academic interests,"Guide and counsel students with adjustments, academic problems, or special academic interests.",5,25-2023.00; 25-2031.00; 25-2032.00; 25-2057.00; 25-2058.00
monitor patients conditions and progress and reevaluate treatments as necessary,"Monitor patients' conditions and progress, and reevaluate treatments, as necessary.",5,29-1212.00; 29-1215.00; 29-1216.00; 29-1218.00; 29-1221.00
resolve customer complaints regarding worker performance or services rendered,Resolve customer complaints regarding worker performance or services rendered.,4,11-9072.00; 39-1014.00; 39-1022.00; 53-1044.00
coordinate placement of students with special needs into mainstream classes,Coordinate placement of students with special needs into mainstream classes.,4,25-2051.00; 25-2056.00; 25-2057.00; 25-2058.00
instruct through lectures discussions and demonstrations in one or more subjects such as english mathematics or social studies,"Instruct through lectures, discussions, and demonstrations in one or more subjects, such as English, mathematics, or social studies.",4,25-2022.00; 25-2031.00; 25-2057.00; 25-2058.00
instruct students individually and in groups using various teaching methods such as lectures discussions and demonstrations,"Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.",4,25-2023.00; 25-2032.00; 25-3011.00; 25-3021.00
explain procedures and discuss test results or prescribed treatments with patients,Explain procedures and discuss test results or prescribed treatments with patients.,4,29-1212.00; 29-1215.00; 29-1216.00; 29-1218.00
teach socially acceptable behavior employing techniques such as behavior modification or positive reinforcement,"Teach socially acceptable behavior, employing techniques such as behavior modification or positive reinforcement.",4,25-2051.00; 25-2055.00; 25-2056.00; 25-9043.00
enforce administration policies and rules governing students,Enforce administration policies and rules governing students.,4,25-2021.00; 25-3011.00; 25-9042.00; 25-9043.00
direct and coordinate activities of nurses students assistants specialists therapists and other medical staff,"Direct and coordinate activities of nurses, students, assistants, specialists, therapists, and other medical staff.",4,29-1215.00; 29-1216.00; 29-1218.00; 29-1221.00
prepare classrooms with a variety of materials or resources for children to explore manipulate or use in learning activities or imaginative play,"Prepare classrooms with a variety of materials or resources for children to explore, manipulate, or use in learning activities or imaginative play.",4,25-2051.00; 25-2055.00; 25-2056.00; 25-9043.00
supervise students laboratory and field work,Supervise students' laboratory and field work.,4,25-1053.00; 25-1064.00; 25-1067.00; 25-1113.00
provide assistive devices supportive technology or assistance accessing facilities such as restrooms,"Provide assistive devices, supportive technology, or assistance accessing facilities, such as restrooms.",3,25-2051.00; 25-2055.00; 25-2056.00
distribute teaching materials such as textbooks workbooks papers and pencils to students,"Distribute teaching materials, such as textbooks, workbooks, papers, and pencils, to students.",3,25-3031.00; 25-9042.00; 25-9043.00
read books to entire classes or to small groups,Read books to entire classes or to small groups.,3,25-2011.00; 25-2012.00; 25-2051.00
develop or implement strategies to meet the needs of students with a variety of disabilities,Develop or implement strategies to meet the needs of students with a variety of disabilities.,3,25-2051.00; 25-2055.00; 25-2056.00
guide and counsel students with adjustment or academic problems or special academic interests,Guide and counsel students with adjustment or academic problems or special academic interests.,3,25-2012.00; 25-2022.00; 25-3011.00
develop or implement procedures for ongoing web site revision,Develop or implement procedures for ongoing Web site revision.,3,15-1254.00; 15-1255.00; 15-1299.01
inform workers about interests or special needs of specific groups,Inform workers about interests or special needs of specific groups.,3,39-1014.00; 39-1022.00; 53-1044.00
recruit and hire staff members,Recruit and hire staff members.,3,39-1014.00; 39-1022.00; 53-1044.00
provide a variety of materials and resources for children to explore manipulate and use both in learning activities and in imaginative play,"Provide a variety of materials and resources for children to explore, manipulate, and use, both in learning activities and in imaginative play.",3,25-2011.00; 25-2012.00; 25-2021.00
inspect work areas or operating equipment to ensure conformance to established standards in areas such as cleanliness or maintenance,Inspect work areas or operating equipment to ensure conformance to established standards in areas such as cleanliness or maintenance.,3,39-1014.00; 39-1022.00; 53-1044.00
employ special educational strategies or techniques during instruction to improve the development of sensory and perceptualmotor skills language cognition or memory,"Employ special educational strategies or techniques during instruction to improve the development of sensory- and perceptual-motor skills, language, cognition, or memory.",3,25-2051.00; 25-2055.00; 25-9043.00
establish and enforce rules for behavior and policies and procedures to maintain order among students,Establish and enforce rules for behavior and policies and procedures to maintain order among students.,3,25-2012.00; 25-2057.00; 25-2058.00
direct and coordinate activities of nurses assistants specialists residents and other medical staff,"Direct and coordinate activities of nurses, assistants, specialists, residents, and other medical staff.",3,29-1214.00; 29-1242.00; 29-1243.00
instruct and monitor students in the use and care of equipment or materials to prevent injuries and damage,Instruct and monitor students in the use and care of equipment or materials to prevent injuries and damage.,3,25-2051.00; 25-2055.00; 25-2056.00
refer patient to medical specialist or other practitioner when necessary,Refer patient to medical specialist or other practitioner when necessary.,3,29-1216.00; 29-1218.00; 29-1221.00
instruct and monitor students in the use and care of equipment and materials to prevent injury and damage,Instruct and monitor students in the use and care of equipment and materials to prevent injury and damage.,3,25-2022.00; 25-2032.00; 25-3021.00
inspect machinery to determine whether repairs are needed,Inspect machinery to determine whether repairs are needed.,3,51-6062.00; 51-6063.00; 51-6064.00
operate machines for test runs to verify adjustments and to obtain product samples,Operate machines for test runs to verify adjustments and to obtain product samples.,3,51-6062.00; 51-6063.00; 51-6064.00
take class attendance and maintain attendance records,Take class attendance and maintain attendance records.,3,25-3031.00; 25-9042.00; 25-9043.00
observe and evaluate workers appearance and performance to ensure quality service and compliance with specifications,Observe and evaluate workers' appearance and performance to ensure quality service and compliance with specifications.,3,39-1014.00; 39-1022.00; 53-1044.00
clean work areas,Clean work areas.,3,51-4021.00; 51-9021.00; 51-9023.00
take disciplinary action to address performance problems,Take disciplinary action to address performance problems.,3,39-1014.00; 39-1022.00; 53-1044.00
attend professional meetings educational conferences or teacher training workshops to maintain or improve professional competence,"Attend professional meetings, educational conferences, or teacher training workshops to maintain or improve professional competence.",3,25-2051.00; 25-2055.00; 25-2056.00
collaborate with other teachers and administrators in the development evaluation and revision of secondary school programs,"Collaborate with other teachers and administrators in the development, evaluation, and revision of secondary school programs.",3,25-2031.00; 25-2032.00; 25-2058.00
monitor teachers or teacher assistants to ensure adherence to special education program requirements,Monitor teachers or teacher assistants to ensure adherence to special education program requirements.,3,25-2051.00; 25-2055.00; 25-2056.00
collect record and maintain patient information such as medical history reports or examination results,"Collect, record, and maintain patient information, such as medical history, reports, or examination results.",3,29-1215.00; 29-1216.00; 29-1221.00
train workers in proper operational procedures and functions and explain company policies,Train workers in proper operational procedures and functions and explain company policies.,3,39-1014.00; 39-1022.00; 53-1044.00
participate in continuing education to stay abreast of industry trends and developments,Participate in continuing education to stay abreast of industry trends and developments.,3,39-1014.00; 39-1022.00; 53-1044.00
store retrieve and manipulate data for analysis of system capabilities and requirements,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",3,15-1252.00; 15-1253.00; 17-2061.00
organize and supervise games or other recreational activities to promote physical mental or social development,"Organize and supervise games or other recreational activities to promote physical, mental, or social development.",3,25-2051.00; 25-2055.00; 25-2056.00
conduct faculty performance evaluations,Conduct faculty performance evaluations.,3,25-1022.00; 25-1072.00; 25-1192.00
meet with parents or guardians to discuss their childrens progress advise them on using community resources or teach skills for dealing with students impairments,"Meet with parents or guardians to discuss their children's progress, advise them on using community resources, or teach skills for dealing with students' impairments.",3,25-2051.00; 25-2055.00; 25-2056.00
apply customer feedback to service improvement efforts,Apply customer feedback to service improvement efforts.,3,39-1014.00; 39-1022.00; 53-1044.00
