soc_code,task_id,task_description,occupation_title,task_type
11-2022.00,10,Represent company at trade association meetings to promote products.,Sales Managers,Core
11-2032.00,21229,"Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",Public Relations Managers,
11-2032.00,21233,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",Public Relations Managers,
11-2032.00,21234,Evaluate advertising and promotion programs for compatibility with public relations efforts.,Public Relations Managers,
11-2032.00,21237,"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",Public Relations Managers,
11-2032.00,21243,"Produce films and other video products, regulate their distribution, and operate film library.",Public Relations Managers,
11-2032.00,21245,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",Public Relations Managers,
11-2033.00,21260,"Produce films and other video products, regulate their distribution, and operate film library.",Fundraising Managers,
11-2033.00,21261,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages.",Fundraising Managers,
11-3013.00,21275,Manage leasing of facility space.,Facilities Managers,Supplemental
11-3013.01,21283,"Analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",Security Managers,
11-3013.01,21284,Assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,Security Managers,
11-3013.01,21286,"Communicate security status, updates, and actual or potential problems, using established protocols.",Security Managers,
11-3013.01,21288,"Conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services.",Security Managers,
11-3013.01,21298,"Identify, investigate, or resolve security breaches.",Security Managers,
11-3013.01,21299,"Monitor and ensure a sound, ethical environment.",Security Managers,
11-3013.01,21303,"Prepare reports or make presentations on internal investigations, losses, or violations of regulations, policies and procedures.",Security Managers,
11-3013.01,21310,"Write or review security-related documents, such as incident reports, proposals, and tactical or strategic initiatives.",Security Managers,
11-3021.00,968,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",Computer and Information Systems Managers,Core
11-3021.00,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Computer and Information Systems Managers,Core
11-3021.00,15198,Provide users with technical support for computer problems.,Computer and Information Systems Managers,Core
11-3021.00,967,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",Computer and Information Systems Managers,Core
11-3021.00,976,"Develop and interpret organizational goals, policies, and procedures.",Computer and Information Systems Managers,Core
11-3021.00,973,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",Computer and Information Systems Managers,Core
11-3021.00,980,Prepare and review operational reports or project progress reports.,Computer and Information Systems Managers,Core
11-3021.00,979,Evaluate data processing proposals to assess project feasibility and requirements.,Computer and Information Systems Managers,Core
11-3031.00,21311,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,Financial Managers,Core
11-3031.00,21313,Recruit staff members.,Financial Managers,Core
11-3031.00,21315,Evaluate data pertaining to costs to plan budgets.,Financial Managers,Core
11-3031.00,21321,Develop or analyze information to assess the current or future financial status of firms.,Financial Managers,Supplemental
11-3031.00,21317,"Examine, evaluate, or process loan applications.",Financial Managers,Supplemental
11-3031.00,21323,"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions.",Financial Managers,Supplemental
11-3031.00,21314,Prepare operational or risk reports for management analysis.,Financial Managers,Supplemental
11-3031.00,21326,Review collection reports to determine the status of collections and the amounts of outstanding balances.,Financial Managers,Supplemental
11-3031.00,21329,Review reports of securities transactions or price lists to analyze market conditions.,Financial Managers,Supplemental
11-3031.01,8856,"Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.",Treasurers and Controllers,Core
11-3031.01,8867,"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",Treasurers and Controllers,Core
11-3031.01,8859,"Maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",Treasurers and Controllers,Core
11-3031.01,8873,"Compute, withhold, and account for all payroll deductions.",Treasurers and Controllers,Supplemental
11-3031.03,15678,Manage investment funds to maximize return on client investments.,Investment Fund Managers,Core
11-3031.03,15679,Select specific investments or investment mixes for purchase by an investment fund.,Investment Fund Managers,Core
11-3031.03,15669,Monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,Investment Fund Managers,Core
11-3031.03,15676,Select or direct the execution of trades.,Investment Fund Managers,Core
11-3031.03,15675,Develop or implement fund investment policies or strategies.,Investment Fund Managers,Core
11-3031.03,15667,"Perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",Investment Fund Managers,Core
11-3031.03,15668,"Present investment information, such as product risks, fees, or fund performance statistics.",Investment Fund Managers,Core
11-3031.03,15660,Prepare for and respond to regulatory inquiries.,Investment Fund Managers,Core
11-3031.03,15674,"Evaluate the potential of new product developments or market opportunities, according to factors such as business plans, technologies, or market potential.",Investment Fund Managers,Core
11-3031.03,15666,Review offering documents or marketing materials to ensure regulatory compliance.,Investment Fund Managers,Supplemental
11-3031.03,15672,Identify group or individual target investors for a specific fund.,Investment Fund Managers,Supplemental
11-3051.01,15426,Confer with marketing and sales departments to define client requirements and expectations.,Quality Control Systems Managers,Core
11-3051.04,15477,Evaluate power production or demand trends to identify opportunities for improved operations.,Biomass Power Plant Managers,Core
11-3061.00,1021,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",Purchasing Managers,Core
11-3061.00,1031,"Review, evaluate, and approve specifications for issuing and awarding bids.",Purchasing Managers,Core
11-3061.00,1035,Administer online purchasing systems.,Purchasing Managers,Core
11-3061.00,1034,Prepare reports regarding market conditions and merchandise costs.,Purchasing Managers,Core
11-3071.00,21345,Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,"Transportation, Storage, and Distribution Managers",Core
11-3071.00,21346,"Resolve problems concerning transportation, logistics systems, imports or exports, or customer issues.","Transportation, Storage, and Distribution Managers",Core
11-3071.00,21348,"Monitor operations to ensure that staff members comply with administrative policies and procedures, safety rules, union contracts, environmental policies, or government regulations.","Transportation, Storage, and Distribution Managers",Core
11-3071.00,21357,"Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.","Transportation, Storage, and Distribution Managers",Core
11-3071.04,15692,Develop or implement procedures or systems to evaluate or select suppliers.,Supply Chain Managers,Core
11-3071.04,15691,"Document physical supply chain processes, such as workflows, cycle times, position responsibilities, or system flows.",Supply Chain Managers,Core
11-3111.00,3275,"Mediate between benefits providers and employees, such as by assisting in handling employees' benefits-related questions or taking suggestions.",Compensation and Benefits Managers,Core
11-3111.00,3283,"Prepare detailed job descriptions and classification systems and define job levels and families, in partnership with other managers.",Compensation and Benefits Managers,Core
11-3121.00,988,Analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,Human Resources Managers,Core
11-3121.00,994,Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,Human Resources Managers,Core
11-3121.00,993,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",Human Resources Managers,Core
11-3131.00,1015,Analyze training needs to develop new training programs or modify and improve existing programs.,Training and Development Managers,Core
11-3131.00,1009,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",Training and Development Managers,Core
11-3131.00,1014,"Plan, develop, and provide training and staff development programs, using knowledge of the effectiveness of methods such as classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops.",Training and Development Managers,Core
11-3131.00,1017,Train instructors and supervisors in techniques and skills for training and dealing with employees.,Training and Development Managers,Core
11-3131.00,1013,"Develop and organize training manuals, multimedia visual aids, and other educational materials.",Training and Development Managers,Core
11-9021.00,20336,"Interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",Construction Managers,Core
11-9021.00,3314,"Confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems.",Construction Managers,Core
11-9021.00,3315,"Plan, organize, or direct activities concerned with the construction or maintenance of structures, facilities, or systems.",Construction Managers,Core
11-9021.00,3323,Study job specifications to determine appropriate construction methods.,Construction Managers,Core
11-9031.00,5196,Monitor students' progress and provide students and teachers with assistance in resolving any problems.,"Education and Childcare Administrators, Preschool and Daycare",Core
11-9031.00,5207,"Collect and analyze survey data, regulatory information, and demographic and employment trends to forecast enrollment patterns and the need for curriculum changes.","Education and Childcare Administrators, Preschool and Daycare",Core
11-9031.00,5208,"Inform businesses, community groups, and governmental agencies about educational needs, available programs, and program policies.","Education and Childcare Administrators, Preschool and Daycare",Core
11-9031.00,5206,"Write articles, manuals, and other publications and assist in the distribution of promotional literature about programs and facilities.","Education and Childcare Administrators, Preschool and Daycare",Core
11-9032.00,5215,"Counsel and provide guidance to students regarding personal, academic, vocational, or behavioral issues.","Education Administrators, Kindergarten through Secondary",Core
11-9032.00,5219,"Plan and develop instructional methods and content for educational, vocational, or student activity programs.","Education Administrators, Kindergarten through Secondary",Core
11-9032.00,5230,"Write articles, manuals, and other publications, and assist in the distribution of promotional literature about facilities and programs.","Education Administrators, Kindergarten through Secondary",Supplemental
11-9032.00,5233,"Collect and analyze survey data, regulatory information, and data on demographic and employment trends to forecast enrollment patterns and curriculum change needs.","Education Administrators, Kindergarten through Secondary",Supplemental
11-9041.00,1070,"Present and explain proposals, reports, or findings to clients.",Architectural and Engineering Managers,Core
11-9051.00,1078,"Investigate and resolve complaints regarding food quality, service, or accommodations.",Food Service Managers,Core
11-9051.00,1090,"Maintain food and equipment inventories, and keep inventory records.",Food Service Managers,Core
11-9051.00,1095,"Assess staffing needs and recruit staff, using methods such as newspaper advertisements or attendance at job fairs.",Food Service Managers,Core
11-9071.00,20472,Market or promote the casino to bring in business.,Gambling Managers,Core
11-9072.00,21410,Resolve customer complaints regarding worker performance or services rendered.,"Entertainment and Recreation Managers, Except Gambling",
11-9081.00,1105,"Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",Lodging Managers,Core
11-9081.00,18599,Monitor the revenue activity of the hotel or facility.,Lodging Managers,Core
11-9081.00,1115,Develop and implement policies and procedures for the operation of a department or establishment.,Lodging Managers,Core
11-9081.00,1114,"Show, rent, or assign accommodations.",Lodging Managers,Core
11-9111.00,57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Medical and Health Services Managers,Core
11-9111.00,63,Develop instructional materials and conduct in-service and community-based educational programs.,Medical and Health Services Managers,Core
11-9121.00,7208,"Review project activities and prepare and review research, testing, or operational reports.",Natural Sciences Managers,Core
11-9121.00,7214,Conduct own research in field of expertise.,Natural Sciences Managers,Core
11-9121.00,7216,Advise or assist in obtaining patents or meeting other legal requirements.,Natural Sciences Managers,Supplemental
11-9121.01,15602,Inform patients or caregivers about study aspects and outcomes to be expected.,Clinical Research Coordinators,Core
11-9121.01,15613,"Monitor study activities to ensure compliance with protocols and with all relevant local, federal, and state regulatory and institutional polices.",Clinical Research Coordinators,Core
11-9121.01,15609,"Code, evaluate, or interpret collected study data.",Clinical Research Coordinators,Core
11-9121.01,15583,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",Clinical Research Coordinators,Core
11-9121.02,15635,"Conduct, or oversee the conduct of, chemical, physical, and biological water quality monitoring or sampling to ensure compliance with water quality standards.",Water Resource Specialists,Core
11-9131.00,5262,Resolve customer complaints.,Postmasters and Mail Superintendents,Core
11-9141.00,7223,"Plan, schedule, and coordinate general maintenance, major repairs, and remodeling or construction projects for commercial or residential properties.","Property, Real Estate, and Community Association Managers",Core
11-9141.00,7231,"Market vacant space to prospective tenants through leasing agents, advertising, or other methods.","Property, Real Estate, and Community Association Managers",Core
11-9141.00,7226,"Maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.","Property, Real Estate, and Community Association Managers",Core
11-9141.00,7233,Review rents to ensure that they are in line with rental markets.,"Property, Real Estate, and Community Association Managers",Supplemental
11-9141.00,7227,"Determine and certify the eligibility of prospective tenants, following government regulations.","Property, Real Estate, and Community Association Managers",Supplemental
11-9141.00,7219,"Meet with prospective tenants to show properties, explain terms of occupancy, and provide information about local areas.","Property, Real Estate, and Community Association Managers",Supplemental
11-9141.00,7225,"Negotiate the sale, lease, or development of property and complete or review appropriate documents and forms.","Property, Real Estate, and Community Association Managers",Supplemental
11-9151.00,1130,Evaluate the work of staff and volunteers to ensure that programs are of appropriate quality and that resources are used effectively.,Social and Community Service Managers,Core
11-9151.00,1128,"Prepare and maintain records and reports, such as budgets, personnel records, or training manuals.",Social and Community Service Managers,Core
11-9151.00,1133,Research and analyze member or community needs to determine program directions and goals.,Social and Community Service Managers,Core
11-9171.00,18840,"Respond to customer complaints, legal inquiries, payment negotiations, or other post-service matters.",Funeral Home Managers,Core
11-9171.00,18848,"Explain goals, policies, or procedures to staff members.",Funeral Home Managers,Core
11-9171.00,18841,"Review financial statements, sales or activity reports, or other performance data to identify opportunities for cost reductions or service improvements.",Funeral Home Managers,Core
11-9171.00,18847,"Evaluate the performance of vendors, contract employees, or other service providers to ensure quality and cost-efficiency.",Funeral Home Managers,Core
11-9171.00,18831,Conduct market research and analyze industry trends.,Funeral Home Managers,Core
11-9179.01,15562,Develop or coordinate fitness and wellness programs or services.,Fitness and Wellness Coordinators,Core
11-9179.01,15550,"Select or supervise contractors, such as event hosts or health, fitness, and wellness practitioners.",Fitness and Wellness Coordinators,Core
11-9179.01,15545,Provide individual support or counseling in general wellness or nutrition.,Fitness and Wellness Coordinators,Core
11-9179.01,20317,"Use computer skills and software to manage Web sites or databases, publish newsletters, or provide webinars.",Fitness and Wellness Coordinators,Core
11-9179.02,17612,Respond to customer inquiries or complaints.,Spa Managers,Core
11-9179.02,17617,Maintain client databases.,Spa Managers,Core
11-9179.02,17601,Plan or direct spa services and programs.,Spa Managers,Core
11-9179.02,17615,Develop or implement marketing strategies.,Spa Managers,Core
11-9199.01,18037,"Review all regulatory agency submission materials to ensure timeliness, accuracy, comprehensiveness, or compliance with regulatory standards.",Regulatory Affairs Managers,Core
11-9199.01,18029,Investigate product complaints and prepare documentation and submissions to appropriate regulatory agencies as necessary.,Regulatory Affairs Managers,Core
11-9199.01,18036,Represent organizations before domestic or international regulatory agencies on major policy matters or decisions regarding company products.,Regulatory Affairs Managers,Core
11-9199.01,18024,"Provide regulatory guidance to departments or development project teams regarding design, development, evaluation, or marketing of products.",Regulatory Affairs Managers,Core
11-9199.01,18030,"Maintain current knowledge of relevant regulations, including proposed and final rules.",Regulatory Affairs Managers,Core
11-9199.01,18038,Review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,Regulatory Affairs Managers,Core
11-9199.02,15650,Identify compliance issues that require follow-up or investigation.,Compliance Managers,Core
11-9199.02,15638,"Maintain documentation of compliance activities, such as complaints received or investigation outcomes.",Compliance Managers,Core
11-9199.02,15656,Conduct or direct the internal investigation of compliance issues.,Compliance Managers,Core
11-9199.02,15647,Prepare management reports regarding compliance operations and progress.,Compliance Managers,Core
11-9199.02,15655,Conduct periodic internal reviews or audits to ensure that compliance procedures are followed.,Compliance Managers,Core
11-9199.02,15649,Monitor compliance systems to ensure their effectiveness.,Compliance Managers,Core
11-9199.02,15643,Review communications such as securities sales advertising to ensure there are no violations of standards or regulations.,Compliance Managers,Supplemental
11-9199.02,15636,Verify that software technology is in place to adequately provide oversight and monitoring in all required areas.,Compliance Managers,Supplemental
11-9199.08,15806,Identify potential for loss and develop strategies to eliminate it.,Loss Prevention Managers,Core
11-9199.09,15819,"Develop relationships and communicate with customers, site managers, developers, land owners, authorities, utility representatives, or residents.",Wind Energy Operations Managers,Core
11-9199.09,15811,Manage warranty repair or replacement services.,Wind Energy Operations Managers,Core
11-9199.10,15830,"Provide verbal or written project status reports to project teams, management, subcontractors, customers, or owners.",Wind Energy Development Managers,Core
11-9199.10,15829,Review or evaluate proposals or bids to make recommendations regarding awarding of contracts.,Wind Energy Development Managers,Core
13-1011.00,12870,Keep informed of industry trends and deals.,"Agents and Business Managers of Artists, Performers, and Athletes",Core
13-1011.00,12866,"Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.","Agents and Business Managers of Artists, Performers, and Athletes",Core
13-1011.00,12867,"Develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success.","Agents and Business Managers of Artists, Performers, and Athletes",Core
13-1021.00,12883,"Maintain records of business transactions and product inventories, reporting data to companies or government agencies as necessary.","Buyers and Purchasing Agents, Farm Products",Core
13-1022.00,20710,Buy merchandise or commodities for resale to wholesale or retail consumers.,"Wholesale and Retail Buyers, Except Farm Products",Core
13-1022.00,20714,Obtain information about customer needs or preferences by conferring with sales or purchasing personnel.,"Wholesale and Retail Buyers, Except Farm Products",Core
13-1022.00,77,"Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.","Wholesale and Retail Buyers, Except Farm Products",Supplemental
13-1022.00,78,"Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.","Wholesale and Retail Buyers, Except Farm Products",Supplemental
13-1022.00,79,Monitor competitors' sales activities by following their advertisements in newspapers or other media.,"Wholesale and Retail Buyers, Except Farm Products",Supplemental
13-1022.00,19547,Analyze environmental aspects of competing merchandise when making buying decisions.,"Wholesale and Retail Buyers, Except Farm Products",Supplemental
13-1023.00,1146,Monitor and follow applicable laws and regulations.,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Core
13-1023.00,1147,"Negotiate, renegotiate, and administer contracts with suppliers, vendors, and other representatives.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",Core
13-1023.00,1145,"Analyze price proposals, financial reports, and other data and information to determine reasonable prices.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",Core
13-1023.00,1152,"Review catalogs, industry periodicals, directories, trade journals, and Internet sites and consult with other department personnel to locate necessary goods and services.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",Core
13-1023.00,1158,"Monitor changes affecting supply and demand, tracking market conditions, price trends, or futures markets.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",Core
13-1031.00,21417,Examine claims forms and other records to determine insurance coverage.,"Claims Adjusters, Examiners, and Investigators",Core
13-1031.00,21423,"Investigate, evaluate, and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.","Claims Adjusters, Examiners, and Investigators",Core
13-1031.00,21428,Verify and analyze data used in settling claims to ensure that claims are valid and that settlements are made according to company practices and procedures.,"Claims Adjusters, Examiners, and Investigators",Core
13-1031.00,21422,"Interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.","Claims Adjusters, Examiners, and Investigators",Core
13-1031.00,21427,"Examine claims investigated by insurance adjusters, further investigating questionable claims to determine whether to authorize payments.","Claims Adjusters, Examiners, and Investigators",Core
13-1031.00,21441,Prepare reports to be submitted to company's data processing department.,"Claims Adjusters, Examiners, and Investigators",Supplemental
13-1031.00,21438,Examine titles to property to determine validity and act as company agent in transactions with property owners.,"Claims Adjusters, Examiners, and Investigators",Supplemental
13-1031.00,21442,Obtain credit information from banks and other credit services.,"Claims Adjusters, Examiners, and Investigators",Supplemental
13-1041.00,21447,"Evaluate applications, records, or documents to gather information about eligibility or liability issues.",Compliance Officers,Core
13-1041.00,21449,"Prepare reports of activities, evaluations, recommendations, or decisions.",Compliance Officers,Core
13-1041.00,21458,Identify compliance issues that require follow-up or investigation.,Compliance Officers,
13-1041.00,21461,"Verify that all firm and regulatory policies and procedures have been documented, implemented, and communicated.",Compliance Officers,
13-1041.01,10853,"Respond to questions and inquiries, such as those concerning service charges and capacity fees, or refer them to supervisors.",Environmental Compliance Inspectors,Supplemental
13-1041.03,10875,"Provide information, technical assistance, or training to supervisors, managers, or employees on topics such as employee supervision, hiring, grievance procedures, or staff development.",Equal Opportunity Representatives and Officers,Core
13-1041.07,18049,Interpret regulatory rules or rule changes and ensure that they are communicated through corporate policies and procedures.,Regulatory Affairs Specialists,Core
13-1041.07,18065,Review clinical protocols to ensure collection of data needed for regulatory submissions.,Regulatory Affairs Specialists,Core
13-1041.07,18053,Compile and maintain regulatory documentation databases or systems.,Regulatory Affairs Specialists,Core
13-1041.07,18059,"Obtain and distribute updated information regarding domestic or international laws, guidelines, or standards.",Regulatory Affairs Specialists,Core
13-1041.07,18064,"Prepare responses to customer requests for information, such as product data, written regulatory affairs statements, surveys, or questionnaires.",Regulatory Affairs Specialists,Supplemental
13-1041.08,15945,"Prepare and process import and export documentation according to customs regulations, laws, or procedures.",Customs Brokers,Core
13-1041.08,15933,"Stay abreast of changes in import or export laws or regulations by reading current literature, attending meetings or conferences, or conferring with colleagues.",Customs Brokers,Core
13-1041.08,15925,"Provide advice on transportation options, types of carriers, or shipping routes.",Customs Brokers,Core
13-1051.00,88,"Prepare and maintain a directory of suppliers, contractors and subcontractors.",Cost Estimators,Core
13-1071.00,18861,"Interpret and explain human resources policies, procedures, laws, standards, or regulations.",Human Resources Specialists,Core
13-1071.00,18871,"Select qualified job applicants or refer them to managers, making hiring recommendations when appropriate.",Human Resources Specialists,Core
13-1071.00,18863,"Maintain and update human resources documents, such as organizational charts, employee handbooks or directories, or performance evaluation forms.",Human Resources Specialists,Core
13-1071.00,18857,Contact job applicants to inform them of the status of their applications.,Human Resources Specialists,Core
13-1071.00,18862,"Interview job applicants to obtain information on work history, training, education, or job skills.",Human Resources Specialists,Core
13-1071.00,18865,"Perform searches for qualified job candidates, using sources such as computer databases, networking, Internet recruiting resources, media advertisements, job fairs, recruiting firms, or employee referrals.",Human Resources Specialists,Core
13-1071.00,18853,Analyze employment-related data and prepare required reports.,Human Resources Specialists,Core
13-1071.00,18855,Conduct reference or background checks on job applicants.,Human Resources Specialists,Supplemental
13-1071.00,18876,"Review and evaluate applicant qualifications or eligibility for specified licensing, according to established guidelines and designated licensing codes.",Human Resources Specialists,Supplemental
13-1071.00,18874,"Evaluate recruitment or selection criteria to ensure conformance to professional, statistical, or testing standards, recommending revisions, as needed.",Human Resources Specialists,Supplemental
13-1075.00,18902,Research case law or outcomes of previous case hearings.,Labor Relations Specialists,Core
13-1075.00,18888,Prepare reports or presentations to communicate employee satisfaction or related data to management.,Labor Relations Specialists,Supplemental
13-1081.00,8933,Develop an understanding of customers' needs and take actions to ensure that such needs are met.,Logisticians,Core
13-1081.00,8936,Protect and control proprietary materials.,Logisticians,Core
13-1081.01,15861,Propose logistics solutions for customers.,Logistics Engineers,Core
13-1081.01,15877,"Provide logistics technology or information for effective and efficient support of product, equipment, or system manufacturing or service.",Logistics Engineers,Core
13-1081.01,15872,"Develop or maintain cost estimates, forecasts, or cost models.",Logistics Engineers,Core
13-1081.01,15876,"Analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",Logistics Engineers,Core
13-1081.01,15868,Prepare or validate documentation on automated logistics or maintenance-data reporting or management information systems.,Logistics Engineers,Core
13-1081.02,15898,Maintain databases of logistics information.,Logistics Analysts,Core
13-1081.02,20009,"Remotely monitor the flow of vehicles or inventory, using Web-based logistics information systems to track vehicles or containers.",Logistics Analysts,Core
13-1081.02,15890,Track product flow from origin to final delivery.,Logistics Analysts,Core
13-1081.02,15903,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation.",Logistics Analysts,Core
13-1081.02,15895,Prepare reports on logistics performance measures.,Logistics Analysts,Core
13-1081.02,15883,Enter logistics-related data into databases.,Logistics Analysts,Core
13-1081.02,15899,Maintain logistics records in accordance with corporate policies.,Logistics Analysts,Core
13-1081.02,15882,"Monitor industry standards, trends, or practices to identify developments in logistics planning or execution.",Logistics Analysts,Core
13-1081.02,15884,Develop or maintain payment systems to ensure accuracy of vendor payments.,Logistics Analysts,Supplemental
13-1081.02,15885,Determine packaging requirements.,Logistics Analysts,Supplemental
13-1082.00,21464,Confer with project personnel to identify and resolve problems.,Project Management Specialists,
13-1082.00,21468,"Identify, review, or select vendors or consultants to meet project needs.",Project Management Specialists,
13-1111.00,7276,Gather and organize information on problems or procedures.,Management Analysts,Core
13-1111.00,7282,"Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",Management Analysts,Core
13-1121.00,1214,"Coordinate services for events, such as accommodation and transportation for participants, facilities, catering, signage, displays, special needs requirements, printing and event security.","Meeting, Convention, and Event Planners",Core
13-1121.00,1216,Inspect event facilities to ensure that they conform to customer requirements.,"Meeting, Convention, and Event Planners",Core
13-1121.00,1210,"Monitor event activities to ensure compliance with applicable regulations and laws, satisfaction of participants, and resolution of any problems that arise.","Meeting, Convention, and Event Planners",Core
13-1121.00,1222,Evaluate and select providers of services according to customer requirements.,"Meeting, Convention, and Event Planners",Core
