OCC_CODE,OCC_TITLE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,H_PCT10,H_PCT25,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_PCT75,A_PCT90
11-9171,Funeral Home Managers,13120,41.18,85650.0,36.94,76830.0,22.03,28.74,47.75,63.69,45820.0,59780.0,99330.0,132470.0
11-9179,"Personal Service Managers, All Other",10490,33.95,70620.0,29.49,61340.0,17.73,22.92,39.85,53.43,36880.0,47670.0,82890.0,111130.0
11-9199,"Managers, All Other",630980,72.06,149890.0,65.65,136550.0,33.11,48.08,86.15,109.42,68860.0,100010.0,179190.0,227590.0
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",14220,79.62,165600.0,46.3,96310.0,23.33,30.34,81.18,,48530.0,63100.0,168850.0,
13-1020,Buyers and Purchasing Agents,486900,39.29,81720.0,36.37,75650.0,22.34,28.21,47.69,61.31,46460.0,58670.0,99190.0,127520.0
13-1031,"Claims Adjusters, Examiners, and Investigators",305020,37.87,78770.0,36.92,76790.0,22.99,28.89,46.15,53.92,47810.0,60100.0,95990.0,112150.0
13-1032,"Insurance Appraisers, Auto Damage",7790,37.04,77050.0,36.85,76650.0,27.26,30.9,41.55,48.94,56690.0,64280.0,86430.0,101800.0
13-1041,Compliance Officers,397770,40.86,84980.0,37.7,78420.0,22.22,28.43,50.39,62.52,46230.0,59130.0,104800.0,130030.0
13-1051,Cost Estimators,219530,39.98,83160.0,37.05,77070.0,22.27,28.77,47.9,61.85,46330.0,59830.0,99630.0,128640.0
13-1071,Human Resources Specialists,917460,38.33,79730.0,35.05,72910.0,21.85,26.86,46.77,60.84,45440.0,55870.0,97270.0,126540.0
13-1074,Farm Labor Contractors,410,24.96,51910.0,23.41,48690.0,14.33,15.8,28.0,41.76,29800.0,32860.0,58250.0,86860.0
13-1075,Labor Relations Specialists,64590,46.7,97130.0,44.95,93500.0,23.98,32.54,59.18,73.77,49880.0,67670.0,123090.0,153440.0
13-1081,Logisticians,235640,42.12,87600.0,38.89,80880.0,23.68,30.25,50.16,63.51,49260.0,62920.0,104330.0,132110.0
13-1082,Project Management Specialists,1006160,51.97,108100.0,48.44,100750.0,28.77,36.99,63.3,79.71,59830.0,76950.0,131660.0,165790.0
13-1111,Management Analysts,893900,55.15,114710.0,48.65,101190.0,28.71,36.91,64.01,83.72,59720.0,76770.0,133140.0,174140.0
13-1121,"Meeting, Convention, and Event Planners",134670,31.29,65090.0,28.58,59440.0,17.3,21.93,37.09,48.71,35990.0,45610.0,77150.0,101310.0
13-1131,Fundraisers,105930,35.16,73130.0,31.97,66490.0,20.77,25.28,41.0,51.42,43200.0,52590.0,85280.0,106960.0
13-1141,"Compensation, Benefits, and Job Analysis Specialists",102370,39.86,82920.0,37.03,77020.0,23.22,28.7,47.7,61.94,48300.0,59700.0,99210.0,128830.0
13-1151,Training and Development Specialists,436610,35.46,73760.0,31.66,65850.0,18.03,23.51,44.02,57.78,37510.0,48900.0,91550.0,120190.0
13-1161,Market Research Analysts and Marketing Specialists,861140,41.58,86480.0,37.0,76950.0,20.23,27.03,50.42,69.52,42070.0,56220.0,104870.0,144610.0
13-1199,"Business Operations Specialists, All Other",1128200,44.41,92380.0,39.07,81270.0,22.23,29.24,52.9,71.07,46230.0,60820.0,110030.0,147830.0
13-2011,Accountants and Auditors,1448290,44.96,93520.0,39.27,81680.0,25.38,31.09,51.18,67.99,52780.0,64660.0,106450.0,141420.0
13-2020,Property Appraisers and Assessors,59070,37.1,77160.0,31.45,65420.0,18.5,23.71,43.66,59.02,38480.0,49310.0,90810.0,122760.0
13-2031,Budget Analysts,47170,45.15,93920.0,42.27,87930.0,29.09,34.73,53.07,64.73,60510.0,72240.0,110380.0,134640.0
13-2041,Credit Analysts,67370,47.14,98040.0,38.93,80970.0,25.45,30.7,54.74,81.17,52930.0,63850.0,113850.0,168840.0
13-2051,Financial and Investment Analysts,340580,56.01,116490.0,48.73,101350.0,30.0,37.64,63.49,86.8,62410.0,78300.0,132050.0,180550.0
13-2052,Personal Financial Advisors,270480,77.02,160210.0,49.11,102140.0,24.03,33.95,82.95,,49990.0,70620.0,172540.0,
13-2053,Insurance Underwriters,107820,43.67,90830.0,38.4,79880.0,24.83,30.32,50.4,66.36,51640.0,63070.0,104820.0,138020.0
13-2054,Financial Risk Specialists,56320,57.66,119930.0,50.96,106000.0,29.94,38.6,69.72,87.65,62270.0,80280.0,145020.0,182310.0
13-2061,Financial Examiners,62830,49.83,103650.0,43.46,90400.0,25.69,32.11,61.16,82.47,53420.0,66800.0,127210.0,171540.0
13-2071,Credit Counselors,28110,26.87,55890.0,24.27,50480.0,18.74,21.84,29.69,37.46,38980.0,45420.0,61760.0,77920.0
13-2072,Loan Officers,290530,41.35,86020.0,35.66,74180.0,18.51,24.26,49.0,70.09,38490.0,50460.0,101920.0,145780.0
13-2081,"Tax Examiners and Collectors, and Revenue Agents",53530,32.49,67570.0,28.72,59740.0,19.24,22.51,38.14,53.03,40020.0,46820.0,79330.0,110300.0
13-2082,Tax Preparers,73570,28.3,58860.0,24.31,50560.0,14.66,18.15,36.34,46.27,30500.0,37750.0,75590.0,96240.0
13-2099,"Financial Specialists, All Other",127450,45.14,93890.0,38.55,80190.0,22.32,28.91,52.46,72.97,46420.0,60140.0,109120.0,151780.0
15-1211,Computer Systems Analysts,497800,53.83,111960.0,49.9,103790.0,30.36,38.89,63.64,79.82,63160.0,80900.0,132360.0,166030.0
15-1212,Information Security Analysts,179430,61.41,127730.0,60.05,124910.0,33.49,44.31,76.73,89.63,69660.0,92160.0,159600.0,186420.0
15-1221,Computer and Information Research Scientists,38480,73.23,152310.0,67.74,140910.0,38.78,49.38,87.12,111.6,80670.0,102710.0,181210.0,232120.0
15-1231,Computer Network Support Specialists,146450,38.27,79610.0,35.26,73340.0,22.12,27.27,46.01,59.84,46010.0,56720.0,95710.0,124470.0
15-1232,Computer User Support Specialists,697210,31.25,64990.0,29.01,60340.0,18.65,22.87,37.02,47.12,38780.0,47580.0,77010.0,98010.0
15-1241,Computer Network Architects,177010,65.33,135890.0,62.69,130390.0,38.23,49.1,79.06,95.21,79520.0,102120.0,164440.0,198030.0
15-1242,Database Administrators,73180,51.65,107440.0,50.3,104620.0,27.32,36.59,63.87,77.35,56820.0,76100.0,132850.0,160890.0
15-1243,Database Architects,64770,68.57,142620.0,65.37,135980.0,39.24,51.88,81.48,100.96,81630.0,107900.0,169480.0,209990.0
15-1244,Network and Computer Systems Administrators,318570,48.65,101190.0,46.54,96800.0,29.0,36.47,59.32,72.27,60320.0,75860.0,123390.0,150320.0
15-1251,Computer Programmers,109870,49.83,103640.0,47.44,98670.0,25.09,34.55,62.0,77.93,52190.0,71860.0,128960.0,162090.0
15-1252,Software Developers,1654440,69.5,144570.0,63.98,133080.0,38.39,49.55,81.25,101.66,79850.0,103050.0,169000.0,211450.0
15-1253,Software Quality Assurance Analysts and Testers,199800,53.01,110260.0,49.33,102610.0,29.18,38.23,63.4,80.27,60690.0,79520.0,131870.0,166960.0
15-1254,Web Developers,78860,47.5,98790.0,43.72,90930.0,23.35,30.36,59.76,78.3,48560.0,63140.0,124300.0,162870.0
15-1255,Web and Digital Interface Designers,111400,53.58,111450.0,47.16,98090.0,23.0,31.25,68.2,92.39,47840.0,64990.0,141860.0,192180.0
15-1299,"Computer Occupations, All Other",439380,56.11,116700.0,52.39,108970.0,25.31,36.71,70.93,85.0,52650.0,76360.0,147530.0,176800.0
15-2011,Actuaries,28340,64.9,134990.0,60.47,125770.0,36.18,43.73,79.26,99.24,75240.0,90970.0,164860.0,206430.0
15-2021,Mathematicians,2220,58.91,122520.0,58.5,121680.0,30.5,41.21,73.72,90.22,63430.0,85720.0,153340.0,187660.0
15-2031,Operations Research Analysts,107760,47.66,99120.0,43.89,91290.0,25.92,32.17,59.67,76.58,53910.0,66910.0,124120.0,159280.0
15-2041,Statisticians,29800,54.01,112330.0,49.66,103300.0,29.04,38.08,66.16,82.07,60390.0,79210.0,137610.0,170700.0
15-2051,Data Scientists,233440,59.9,124590.0,54.13,112590.0,30.6,39.73,74.91,93.47,63650.0,82630.0,155810.0,194410.0
15-2099,"Mathematical Science Occupations, All Other",4660,40.72,84700.0,34.37,71490.0,19.39,25.21,49.0,74.11,40330.0,52440.0,101920.0,154140.0
17-1011,"Architects, Except Landscape and Naval",111140,49.71,103390.0,46.49,96690.0,29.09,36.59,59.28,76.83,60510.0,76110.0,123300.0,159800.0
17-1012,Landscape Architects,19580,42.31,88000.0,38.3,79660.0,25.0,30.12,48.84,63.58,51990.0,62650.0,101580.0,132250.0
17-1021,Cartographers and Photogrammetrists,12790,39.84,82860.0,37.68,78380.0,24.28,30.22,47.91,58.39,50500.0,62860.0,99650.0,121440.0
17-1022,Surveyors,53080,36.89,76730.0,34.97,72740.0,21.0,25.76,45.46,55.93,43680.0,53590.0,94550.0,116330.0
17-2011,Aerospace Engineers,68440,67.88,141180.0,64.82,134830.0,41.04,50.36,83.88,98.97,85350.0,104740.0,174480.0,205850.0
17-2021,Agricultural Engineers,1680,40.5,84240.0,40.69,84630.0,20.68,24.01,49.97,63.8,43020.0,49930.0,103940.0,132700.0
17-2031,Bioengineers and Biomedical Engineers,21860,55.3,115020.0,51.42,106950.0,34.55,41.65,64.22,79.36,71860.0,86630.0,133570.0,165060.0
17-2041,Chemical Engineers,20330,61.75,128430.0,58.59,121860.0,37.75,46.17,73.22,87.57,78520.0,96040.0,152290.0,182150.0
17-2051,Civil Engineers,355410,51.47,107050.0,47.88,99590.0,31.69,37.88,61.68,77.4,65920.0,78790.0,128290.0,160990.0
17-2061,Computer Hardware Engineers,75710,75.37,156770.0,74.53,155020.0,41.07,55.53,89.12,107.61,85430.0,115500.0,185380.0,223820.0
17-2071,Electrical Engineers,188790,58.16,120980.0,53.8,111910.0,35.9,42.11,68.09,84.36,74670.0,87590.0,141630.0,175460.0
17-2072,"Electronics Engineers, Except Computer",93940,63.7,132500.0,61.34,127590.0,38.17,47.56,78.85,95.7,79390.0,98920.0,164000.0,199060.0
17-2081,Environmental Engineers,37950,53.16,110570.0,50.08,104170.0,31.23,38.71,62.9,77.84,64950.0,80510.0,130830.0,161910.0
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",23220,54.7,113770.0,52.72,109660.0,29.83,41.06,65.46,80.13,62050.0,85400.0,136150.0,166670.0
17-2112,Industrial Engineers,350230,51.87,107900.0,48.63,101140.0,33.66,39.38,61.29,75.55,70000.0,81910.0,127480.0,157140.0
17-2121,Marine Engineers and Naval Architects,8440,56.1,116680.0,50.8,105670.0,38.32,42.54,64.32,80.61,79700.0,88480.0,133780.0,167660.0
17-2131,Materials Engineers,22770,55.95,116380.0,52.07,108310.0,32.71,41.26,66.52,82.69,68040.0,85820.0,138370.0,172000.0
17-2141,Mechanical Engineers,286760,52.92,110080.0,49.19,102320.0,33.05,39.33,62.64,77.52,68740.0,81800.0,130290.0,161240.0
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",6770,52.37,108940.0,48.57,101020.0,30.05,38.96,62.44,78.72,62500.0,81040.0,129860.0,163740.0
17-2161,Nuclear Engineers,14740,64.89,134980.0,61.31,127520.0,42.45,49.53,75.77,90.11,88290.0,103010.0,157600.0,187430.0
17-2171,Petroleum Engineers,18970,73.83,153560.0,67.92,141280.0,37.9,51.6,91.87,110.0,78840.0,107330.0,191100.0,228790.0
17-2199,"Engineers, All Other",150750,58.52,121720.0,56.61,117750.0,30.21,41.23,73.4,88.22,62840.0,85750.0,152670.0,183510.0
17-3011,Architectural and Civil Drafters,109550,33.11,68860.0,30.9,64280.0,21.17,25.42,38.23,47.21,44040.0,52880.0,79510.0,98190.0
17-3012,Electrical and Electronics Drafters,20020,37.48,77960.0,35.44,73720.0,23.41,28.27,44.12,52.97,48680.0,58800.0,91780.0,110180.0
17-3013,Mechanical Drafters,39900,35.59,74040.0,32.94,68510.0,22.36,27.15,41.14,51.73,46500.0,56470.0,85580.0,107600.0
17-3019,"Drafters, All Other",16010,31.99,66530.0,29.81,62010.0,20.28,24.51,37.38,46.45,42170.0,50970.0,77750.0,96620.0
17-3021,Aerospace Engineering and Operations Technologists and Technicians,9060,41.5,86330.0,38.38,79830.0,25.83,31.04,49.14,57.91,53730.0,64570.0,102220.0,120440.0
17-3022,Civil Engineering Technologists and Technicians,62130,32.91,68450.0,30.86,64200.0,20.94,24.87,38.24,47.04,43550.0,51730.0,79550.0,97840.0
17-3023,Electrical and Electronic Engineering Technologists and Technicians,92710,37.78,78580.0,37.11,77180.0,23.2,29.14,45.58,53.75,48250.0,60610.0,94810.0,111790.0
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,14680,36.4,75710.0,34.02,70760.0,22.97,28.16,41.98,52.68,47770.0,58570.0,87320.0,109580.0
17-3025,Environmental Engineering Technologists and Technicians,12500,30.32,63070.0,28.31,58890.0,19.07,23.2,36.2,44.37,39670.0,48250.0,75290.0,92280.0
17-3026,Industrial Engineering Technologists and Technicians,73410,33.55,69780.0,31.15,64790.0,22.29,25.59,38.0,46.96,46370.0,53230.0,79040.0,97670.0
17-3027,Mechanical Engineering Technologists and Technicians,37450,34.83,72450.0,33.04,68730.0,22.57,27.56,39.89,48.51,46940.0,57330.0,82980.0,100890.0
17-3028,Calibration Technologists and Technicians,15320,34.18,71080.0,31.27,65040.0,21.51,25.12,40.19,50.69,44730.0,52250.0,83600.0,105440.0
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",64410,38.34,79740.0,37.21,77390.0,22.6,28.7,47.0,55.11,47010.0,59700.0,97760.0,114630.0
17-3031,Surveying and Mapping Technicians,56720,27.35,56890.0,24.97,51940.0,17.75,21.24,31.37,38.88,36910.0,44180.0,65240.0,80870.0
19-1011,Animal Scientists,2470,50.47,104970.0,38.04,79120.0,23.29,28.66,61.75,113.34,48440.0,59610.0,128450.0,235750.0
19-1012,Food Scientists and Technologists,14370,44.32,92190.0,41.02,85310.0,23.84,31.37,53.7,68.2,49580.0,65240.0,111700.0,141860.0
19-1013,Soil and Plant Scientists,16600,39.92,83040.0,34.33,71410.0,21.79,27.86,47.17,63.19,45320.0,57950.0,98110.0,131440.0
19-1021,Biochemists and Biophysicists,34520,55.56,115570.0,49.83,103650.0,31.2,37.85,64.64,81.2,64890.0,78730.0,134460.0,168900.0
19-1022,Microbiologists,19760,45.77,95200.0,41.98,87330.0,24.63,30.73,58.05,72.43,51220.0,63920.0,120750.0,150650.0
19-1023,Zoologists and Wildlife Biologists,16920,37.46,77920.0,35.03,72860.0,23.19,28.06,43.55,54.5,48240.0,58360.0,90590.0,113350.0
19-1029,"Biological Scientists, All Other",59710,48.29,100440.0,44.87,93330.0,26.2,32.67,58.34,76.82,54500.0,67950.0,121350.0,159780.0
19-1031,Conservation Scientists,25590,35.73,74310.0,32.67,67950.0,21.76,25.57,42.3,51.79,45260.0,53190.0,87980.0,107720.0
19-1032,Foresters,9650,35.9,74670.0,33.97,70660.0,23.68,28.27,41.08,49.62,49240.0,58810.0,85450.0,103220.0
19-1041,Epidemiologists,11460,45.27,94160.0,40.38,83980.0,27.38,32.71,50.98,64.84,56950.0,68040.0,106040.0,134860.0
19-1042,"Medical Scientists, Except Epidemiologists",156300,54.18,112690.0,48.36,100590.0,29.74,37.14,64.36,80.87,61860.0,77260.0,133870.0,168210.0
19-1099,"Life Scientists, All Other",7320,49.01,101940.0,42.21,87800.0,25.17,31.89,59.48,81.18,52360.0,66340.0,123720.0,168860.0
19-2011,Astronomers,1560,64.63,134430.0,63.54,132170.0,34.0,45.67,85.43,92.25,70730.0,94990.0,177690.0,191880.0
19-2012,Physicists,21340,79.81,166000.0,79.95,166290.0,38.47,56.47,101.09,,80020.0,117450.0,210260.0,
19-2021,Atmospheric and Space Scientists,8780,49.99,103980.0,46.85,97450.0,24.03,33.39,61.99,77.26,49990.0,69440.0,128940.0,160710.0
19-2031,Chemists,83250,46.13,95940.0,40.46,84150.0,25.58,30.74,57.79,74.25,53210.0,63930.0,120210.0,154430.0
19-2032,Materials Scientists,8330,53.56,111410.0,50.08,104160.0,29.55,38.45,64.49,81.01,61460.0,79980.0,134140.0,168500.0
19-2041,"Environmental Scientists and Specialists, Including Health",84930,42.62,88640.0,38.49,80060.0,24.1,29.85,49.87,64.82,50130.0,62090.0,103730.0,134830.0
19-2042,"Geoscientists, Except Hydrologists and Geographers",22510,53.52,111310.0,47.71,99240.0,28.27,34.83,64.59,86.0,58790.0,72440.0,134350.0,178880.0
19-2043,Hydrologists,5720,47.18,98130.0,44.26,92060.0,28.85,35.25,55.26,67.03,60010.0,73330.0,114940.0,139420.0
19-2099,"Physical Scientists, All Other",22580,59.17,123070.0,56.71,117960.0,29.8,39.64,74.47,92.25,61990.0,82450.0,154900.0,191880.0
19-3011,Economists,15880,62.94,130910.0,55.5,115440.0,29.97,39.55,79.82,102.27,62340.0,82260.0,166030.0,212710.0
19-3022,Survey Researchers,7720,35.32,73470.0,30.47,63380.0,17.77,22.17,41.04,57.08,36950.0,46110.0,85370.0,118730.0
19-3032,Industrial-Organizational Psychologists,1050,64.62,134400.0,52.81,109840.0,24.94,38.84,95.27,107.97,51880.0,80790.0,198170.0,224590.0
19-3033,Clinical and Counseling Psychologists,72190,51.37,106850.0,46.07,95830.0,24.26,32.44,63.23,81.8,50470.0,67470.0,131510.0,170150.0
19-3034,School Psychologists,63830,45.01,93610.0,41.79,86930.0,29.27,35.21,52.03,63.62,60880.0,73240.0,108210.0,132320.0
19-3039,"Psychologists, All Other",17790,53.53,111340.0,56.53,117580.0,24.71,35.49,69.81,78.64,51410.0,73820.0,145200.0,163570.0
19-3041,Sociologists,2950,53.69,111670.0,48.89,101690.0,29.19,37.57,64.8,81.05,60710.0,78150.0,134780.0,168590.0
19-3051,Urban and Regional Planners,43040,43.14,89730.0,40.25,83720.0,26.73,31.83,50.22,61.8,55590.0,66210.0,104450.0,128550.0
19-3091,Anthropologists and Archeologists,8070,34.17,71070.0,31.21,64910.0,21.4,24.63,39.94,50.24,44510.0,51240.0,83080.0,104510.0
19-3092,Geographers,1380,47.19,98160.0,46.73,97200.0,30.0,36.34,56.34,64.27,62390.0,75590.0,117190.0,133680.0
19-3093,Historians,3140,37.73,78470.0,35.6,74050.0,18.57,26.54,46.31,61.78,38630.0,55190.0,96330.0,128500.0
19-3094,Political Scientists,5950,66.15,137600.0,67.01,139380.0,35.94,49.54,82.72,92.25,74750.0,103030.0,172050.0,191880.0
19-3099,"Social Scientists and Related Workers, All Other",36970,51.17,106440.0,48.24,100340.0,30.08,38.08,61.48,77.31,62570.0,79210.0,127880.0,160810.0
19-4012,Agricultural Technicians,14340,23.88,49680.0,22.49,46790.0,15.8,18.5,28.55,33.18,32860.0,38480.0,59370.0,69010.0
19-4013,Food Science Technicians,14200,26.15,54400.0,23.76,49430.0,18.15,21.15,29.3,36.11,37760.0,43990.0,60940.0,75100.0
19-4021,Biological Technicians,76190,27.89,58020.0,25.0,52000.0,18.3,21.82,31.93,39.42,38060.0,45380.0,66410.0,81990.0
19-4031,Chemical Technicians,55640,29.47,61300.0,27.78,57790.0,18.76,22.44,35.07,43.75,39030.0,46680.0,72940.0,90990.0
19-4042,"Environmental Science and Protection Technicians, Including Health",39390,27.29,56770.0,23.79,49490.0,17.37,18.29,30.85,41.17,36130.0,38050.0,64170.0,85630.0
19-4043,"Geological Technicians, Except Hydrologic Technicians",9710,27.99,58220.0,23.27,48390.0,15.78,18.85,31.0,44.33,32830.0,39200.0,64470.0,92210.0
19-4044,Hydrologic Technicians,2940,30.97,64410.0,28.16,58570.0,19.39,22.81,38.36,45.34,40330.0,47450.0,79790.0,94310.0
19-4051,Nuclear Technicians,5990,48.43,100730.0,50.11,104240.0,30.95,40.06,54.67,61.0,64370.0,83330.0,113710.0,126890.0
19-4061,Social Science Research Assistants,32940,30.56,63560.0,27.9,58040.0,17.5,22.21,35.13,48.38,36410.0,46190.0,73060.0,100620.0
19-4071,Forest and Conservation Technicians,31080,27.24,56660.0,26.11,54310.0,17.4,20.46,31.74,38.84,36190.0,42560.0,66020.0,80790.0
19-4092,Forensic Science Technicians,19450,36.18,75260.0,32.42,67440.0,21.91,25.63,42.65,53.23,45560.0,53310.0,88710.0,110710.0
19-4099,"Life, Physical, and Social Science Technicians, All Other",71400,31.08,64640.0,28.91,60130.0,17.94,22.25,37.5,48.98,37310.0,46270.0,77990.0,101870.0
19-5011,Occupational Health and Safety Specialists,128430,42.63,88660.0,40.34,83910.0,24.33,30.96,50.67,62.72,50610.0,64410.0,105390.0,130460.0
19-5012,Occupational Health and Safety Technicians,31450,30.67,63800.0,28.1,58440.0,19.5,23.81,35.97,45.51,40550.0,49510.0,74810.0,94670.0
21-1012,"Educational, Guidance, and Career Counselors and Advisors",342350,34.38,71520.0,31.32,65140.0,20.95,24.85,40.14,50.9,43580.0,51690.0,83490.0,105870.0
21-1013,Marriage and Family Therapists,65870,34.96,72720.0,30.66,63780.0,20.49,23.36,40.87,53.66,42610.0,48600.0,85020.0,111610.0
21-1015,Rehabilitation Counselors,88930,24.64,51260.0,22.17,46110.0,16.58,18.61,28.39,37.12,34480.0,38700.0,59040.0,77200.0
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",440380,31.3,65100.0,28.46,59190.0,18.79,22.68,36.65,47.22,39090.0,47170.0,76230.0,98210.0
21-1019,"Counselors, All Other",33340,27.92,58070.0,23.96,49830.0,17.39,20.56,31.98,43.95,36160.0,42760.0,66510.0,91420.0
21-1021,"Child, Family, and School Social Workers",382960,30.25,62920.0,28.16,58570.0,19.51,22.83,35.61,45.21,40580.0,47480.0,74060.0,94030.0
21-1022,Healthcare Social Workers,185940,34.63,72030.0,32.74,68090.0,21.65,26.62,40.1,48.5,45030.0,55360.0,83410.0,100870.0
21-1023,Mental Health and Substance Abuse Social Workers,125910,32.83,68290.0,28.88,60060.0,19.05,22.38,37.97,50.06,39620.0,46550.0,78980.0,104130.0
21-1029,"Social Workers, All Other",64940,35.91,74680.0,33.4,69480.0,21.41,25.01,45.86,54.2,44530.0,52010.0,95390.0,112740.0
21-1091,Health Education Specialists,65150,34.47,71700.0,30.29,63000.0,20.3,23.98,40.6,54.28,42210.0,49880.0,84460.0,112900.0
21-1092,Probation Officers and Correctional Treatment Specialists,86820,34.39,71530.0,31.02,64520.0,21.82,25.28,40.4,51.1,45390.0,52580.0,84030.0,106290.0
21-1093,Social and Human Service Assistants,424220,22.64,47090.0,21.69,45120.0,16.0,18.16,25.5,30.7,33280.0,37770.0,53040.0,63850.0
