task_description,api_count,task_lower,soc_code,task_id,occupation_title
advise and teach students.,26.0,advise and teach students.,25-9031.00,6877.0,Instructional Coordinators
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",71.0,"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",29-1131.00,18532.0,Veterinarians
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",19.0,"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",,,
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",24.0,"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",23-1011.00,3773.0,Lawyers
advise clients on financial and legal matters such as investments and taxes.,99.0,advise clients on financial and legal matters such as investments and taxes.,,,
advise clients on how they could be helped by counseling.,80.0,advise clients on how they could be helped by counseling.,19-3033.00,22175.0,Clinical and Counseling Psychologists
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",266.0,"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",,,
advise corporations on issues involving corporate image projects or problems.,19.0,advise corporations on issues involving corporate image projects or problems.,27-1021.00,6912.0,Commercial and Industrial Designers
"advise customers concerning equipment operation, maintenance, or programming.",26.0,"advise customers concerning equipment operation, maintenance, or programming.",49-2011.00,11627.0,"Computer, Automated Teller, and Office Machine Repairers"
advise customers of necessary actions and strategies for debt repayment.,54.0,advise customers of necessary actions and strategies for debt repayment.,43-3011.00,2477.0,Bill and Account Collectors
advise customers on use and care of merchandise.,20.0,advise customers on use and care of merchandise.,41-2021.00,692.0,Counter and Rental Clerks
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",30.0,"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",25-9021.00,10976.0,Farm and Home Management Educators
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",28.0,"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",,,
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",46.0,"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",19-3032.00,7564.0,Industrial-Organizational Psychologists
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",40.0,"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",49-2094.00,889.0,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
advise or assist in obtaining patents or meeting other legal requirements.,36.0,advise or assist in obtaining patents or meeting other legal requirements.,11-9121.00,7216.0,Natural Sciences Managers
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",104.0,"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",29-1021.00,6929.0,"Dentists, General"
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",29.0,"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",,,
"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",26.0,"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",,,
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1021.00,5696.0,"Computer Science Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1022.00,5719.0,"Mathematical Science Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1031.00,5742.0,"Architecture Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1032.00,5765.0,"Engineering Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1041.00,5785.0,"Agricultural Sciences Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1042.00,5808.0,"Biological Science Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1043.00,5831.0,"Forestry and Conservation Science Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1051.00,5858.0,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1052.00,5881.0,"Chemistry Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1053.00,5902.0,"Environmental Science Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1054.00,5927.0,"Physics Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1063.00,5996.0,"Economics Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1064.00,6020.0,"Geography Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1065.00,6040.0,"Political Science Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1066.00,6064.0,"Psychology Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1067.00,6085.0,"Sociology Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1071.00,6112.0,"Health Specialties Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1072.00,6132.0,"Nursing Instructors and Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1081.00,6155.0,"Education Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1082.00,6180.0,"Library Science Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1111.00,6204.0,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1112.00,6224.0,"Law Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1113.00,6250.0,"Social Work Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1121.00,6269.0,"Art, Drama, and Music Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1122.00,6297.0,"Communications Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1123.00,6320.0,"English Language and Literature Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1124.00,6344.0,"Foreign Language and Literature Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1125.00,6367.0,"History Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1126.00,6388.0,"Philosophy and Religion Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1192.00,6408.0,"Family and Consumer Sciences Teachers, Postsecondary"
advise students on academic and vocational curricula and on career issues.,109.0,advise students on academic and vocational curricula and on career issues.,25-1193.00,6431.0,"Recreation and Fitness Studies Teachers, Postsecondary"
"advise students on academic and vocational curricula, and on career issues.",18.0,"advise students on academic and vocational curricula, and on career issues.",25-1062.00,5971.0,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,67.0,analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,11-3071.00,21345.0,"Transportation, Storage, and Distribution Managers"
analyze and classify risks and investments to determine their potential impacts on companies.,203.0,analyze and classify risks and investments to determine their potential impacts on companies.,,,
analyze and evaluate robotic systems or prototypes.,19.0,analyze and evaluate robotic systems or prototypes.,,,
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",1710.0,"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",11-3013.01,21283.0,Security Managers
analyze and interpret data to increase the understanding of human social behavior.,86.0,analyze and interpret data to increase the understanding of human social behavior.,19-3041.00,5465.0,Sociologists
analyze and interpret news and information received from various sources to broadcast the information.,96.0,analyze and interpret news and information received from various sources to broadcast the information.,27-3023.00,22626.0,"News Analysts, Reporters, and Journalists"
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",27.0,"analyze and interpret patient, nursing, or information systems data to improve nursing services.",15-1211.01,18094.0,Health Informatics Specialists
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",80.0,"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",29-1171.00,18382.0,Nurse Practitioners
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",64.0,"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",,,
analyze and maintain data logs for audio-visual activities.,38.0,analyze and maintain data logs for audio-visual activities.,27-4011.00,18652.0,Audio and Video Technicians
analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,20.0,analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,11-3121.00,988.0,Human Resources Managers
analyze and record personnel or operational data and write related activity reports.,45.0,analyze and record personnel or operational data and write related activity reports.,39-1014.00,23157.0,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
analyze and record personnel or operational data and write related activity reports.,45.0,analyze and record personnel or operational data and write related activity reports.,53-1044.00,23696.0,First-Line Supervisors of Passenger Attendants
"analyze and record test data to issue reports that use charts, graphs, or narratives.",356.0,"analyze and record test data to issue reports that use charts, graphs, or narratives.",29-2012.00,1905.0,Medical and Clinical Laboratory Technicians
analyze and report computer network security breaches or attempted breaches.,2341.0,analyze and report computer network security breaches or attempted breaches.,15-1231.00,19003.0,Computer Network Support Specialists
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",21.0,"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",17-3011.00,21920.0,Architectural and Civil Drafters
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",138.0,"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",13-2011.00,21519.0,Accountants and Auditors
analyze characteristics of animals to identify and classify them.,385.0,analyze characteristics of animals to identify and classify them.,19-1023.00,1494.0,Zoologists and Wildlife Biologists
analyze clinical data using appropriate statistical tools.,21.0,analyze clinical data using appropriate statistical tools.,15-2051.02,16283.0,Clinical Data Managers
"analyze competitive market strategies through analysis of related product, market, or share trends.",39.0,"analyze competitive market strategies through analysis of related product, market, or share trends.",15-2051.01,16148.0,Business Intelligence Analysts
analyze completed police reports to determine what additional information and investigative work is needed.,15.0,analyze completed police reports to determine what additional information and investigative work is needed.,33-3021.00,23033.0,Detectives and Criminal Investigators
"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",29.0,"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",,,
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,46.0,analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,13-2041.00,1250.0,Credit Analysts
"analyze data from surveys, old records, or case studies, using statistical software.",123.0,"analyze data from surveys, old records, or case studies, using statistical software.",19-3022.00,7547.0,Survey Researchers
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",46.0,"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",,,
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,64.0,analyze data to assess distance learning program status or to inform decisions for distance learning programs.,,,
analyze data to determine answers to questions from customers or members of the public.,510.0,analyze data to determine answers to questions from customers or members of the public.,43-4171.00,752.0,Receptionists and Information Clerks
"analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects.",15.0,"analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects.",19-2041.00,1520.0,"Environmental Scientists and Specialists, Including Health"
analyze details of sales territories to assess their growth potential and to set quotas.,42.0,analyze details of sales territories to assess their growth potential and to set quotas.,41-1012.00,9671.0,First-Line Supervisors of Non-Retail Sales Workers
"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",52.0,"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",19-1029.03,16840.0,Geneticists
analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,83.0,analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,27-3042.00,3977.0,Technical Writers
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",17.0,"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",17-2072.00,20495.0,"Electronics Engineers, Except Computer"
analyze employment-related data and prepare required reports.,59.0,analyze employment-related data and prepare required reports.,13-1071.00,18853.0,Human Resources Specialists
analyze environmental aspects of competing merchandise when making buying decisions.,26.0,analyze environmental aspects of competing merchandise when making buying decisions.,13-1022.00,19547.0,"Wholesale and Retail Buyers, Except Farm Products"
analyze equipment performance records to assess equipment functioning.,92.0,analyze equipment performance records to assess equipment functioning.,49-2011.00,11644.0,"Computer, Automated Teller, and Office Machine Repairers"
"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",36.0,"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",11-3071.00,21357.0,"Transportation, Storage, and Distribution Managers"
analyze experimental data and interpret results to write reports and summaries of findings.,1391.0,analyze experimental data and interpret results to write reports and summaries of findings.,19-4021.00,3747.0,Biological Technicians
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures.",22.0,"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures.",13-2099.04,16057.0,"Fraud Examiners, Investigators and Analysts"
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,348.0,analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,13-2052.00,12904.0,Personal Financial Advisors
analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,85.0,analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,13-2051.00,21580.0,Financial and Investment Analysts
"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales.",40.0,"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales.",19-3092.00,5507.0,Geographers
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",94.0,"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",,,
analyze information from traffic counting programs.,52.0,analyze information from traffic counting programs.,19-3099.01,16941.0,Transportation Planners
analyze information obtained from management to conceptualize and define operational problems.,488.0,analyze information obtained from management to conceptualize and define operational problems.,15-2031.00,7379.0,Operations Research Analysts
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",134.0,"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",,,
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",273.0,"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",,,
"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",94.0,"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",15-1252.00,21661.0,Software Developers
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",824.0,"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",17-2061.00,7395.0,Computer Hardware Engineers
"analyze job requirements and content to establish criteria for classification, selection, training, and other related personnel functions.",62.0,"analyze job requirements and content to establish criteria for classification, selection, training, and other related personnel functions.",19-3032.00,7561.0,Industrial-Organizational Psychologists
analyze laboratory findings to check the accuracy of the results.,200.0,analyze laboratory findings to check the accuracy of the results.,29-2011.00,1886.0,Medical and Clinical Laboratory Technologists
analyze market conditions to determine optimum times to execute securities transactions.,967.0,analyze market conditions to determine optimum times to execute securities transactions.,,,
"analyze menus or recipes, standardize recipes, or test new products.",21.0,"analyze menus or recipes, standardize recipes, or test new products.",29-2051.00,4166.0,Dietetic Technicians
"analyze network data to determine network usage, disk space availability, or server function.",99.0,"analyze network data to determine network usage, disk space availability, or server function.",15-1231.00,18989.0,Computer Network Support Specialists
"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",983.0,"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",11-1011.00,8825.0,Chief Executives
analyze or evaluate dental needs to determine changes or trends in patterns of dental disease.,21.0,analyze or evaluate dental needs to determine changes or trends in patterns of dental disease.,29-1021.00,6934.0,"Dentists, General"
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",326.0,"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",13-1081.01,15876.0,Logistics Engineers
analyze or synthesize client data to draw conclusions or make recommendations for therapy.,31.0,analyze or synthesize client data to draw conclusions or make recommendations for therapy.,29-1129.02,19166.0,Music Therapists
"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",822.0,"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",19-2031.00,1505.0,Chemists
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",1674.0,"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",13-1141.00,3364.0,"Compensation, Benefits, and Job Analysis Specialists"
analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,55.0,analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,25-4022.00,22412.0,Librarians and Media Collections Specialists
"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",265.0,"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",25-9031.00,22438.0,Instructional Coordinators
analyze potential loan markets and develop referral networks to locate prospects for loans.,66.0,analyze potential loan markets and develop referral networks to locate prospects for loans.,13-2072.00,3425.0,Loan Officers
analyze potential loan markets to find opportunities to promote loans and financial services.,41.0,analyze potential loan markets to find opportunities to promote loans and financial services.,,,
analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,27.0,analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,29-1051.00,1810.0,Pharmacists
"analyze price proposals, financial reports, and other data and information to determine reasonable prices.",26.0,"analyze price proposals, financial reports, and other data and information to determine reasonable prices.",13-1023.00,1145.0,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
analyze problems to develop solutions involving computer hardware and software.,24.0,analyze problems to develop solutions involving computer hardware and software.,15-1221.00,14623.0,Computer and Information Research Scientists
analyze product complaints and make recommendations regarding their reportability.,15.0,analyze product complaints and make recommendations regarding their reportability.,,,
"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs.",15.0,"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs.",35-1011.00,11138.0,Chefs and Head Cooks
"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",214.0,"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",29-1216.00,7786.0,General Internal Medicine Physicians
"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",214.0,"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",29-1218.00,7810.0,Obstetricians and Gynecologists
"analyze research data to determine its significance, using computers.",131.0,"analyze research data to determine its significance, using computers.",19-2011.00,7525.0,Astronomers
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,18.0,analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,11-3121.00,994.0,Human Resources Managers
analyze system performance or operational requirements.,1110.0,analyze system performance or operational requirements.,17-2199.07,18195.0,Photonics Engineers
analyze target companies or investment opportunities to inform investment decisions.,686.0,analyze target companies or investment opportunities to inform investment decisions.,,,
"analyze test data, making computations as necessary, to determine test results.",529.0,"analyze test data, making computations as necessary, to determine test results.",51-9061.00,12481.0,"Inspectors, Testers, Sorters, Samplers, and Weighers"
analyze the effectiveness of marketing tactics or channels.,82.0,analyze the effectiveness of marketing tactics or channels.,11-2011.00,21218.0,Advertising and Promotions Managers
"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",16.0,"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",11-3031.01,8867.0,Treasurers and Controllers
"analyze the layout, instrumentation, or function of electrical generation or transmission facilities.",65.0,"analyze the layout, instrumentation, or function of electrical generation or transmission facilities.",51-8013.00,23612.0,Power Plant Operators
"analyze the probable outcomes of cases, using knowledge of legal precedents.",21.0,"analyze the probable outcomes of cases, using knowledge of legal precedents.",23-1011.00,3775.0,Lawyers
"analyze training needs to design employee development, language training and health and safety programs.",23.0,"analyze training needs to design employee development, language training and health and safety programs.",,,
analyze training needs to develop new training programs or modify and improve existing programs.,35.0,analyze training needs to develop new training programs or modify and improve existing programs.,11-3131.00,1015.0,Training and Development Managers
"analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",38.0,"analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",13-2023.00,21577.0,Appraisers and Assessors of Real Estate
analyze user needs and recommend appropriate hardware.,22.0,analyze user needs and recommend appropriate hardware.,17-2061.00,7397.0,Computer Hardware Engineers
analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,14246.0,analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,15-1252.00,21662.0,Software Developers
"analyze, interpret, or create graphical representations of energy data, using engineering software.",169.0,"analyze, interpret, or create graphical representations of energy data, using engineering software.",17-2199.03,18159.0,"Energy Engineers, Except Wind and Solar"
"analyze, interpret, or disseminate system performance data.",797.0,"analyze, interpret, or disseminate system performance data.",15-1299.03,16235.0,Document Management Specialists
answer applicants' questions about benefits and claim procedures.,80.0,answer applicants' questions about benefits and claim procedures.,43-4061.00,9732.0,"Eligibility Interviewers, Government Programs"
answer clients' questions about the purposes and details of financial plans and strategies.,127.0,answer clients' questions about the purposes and details of financial plans and strategies.,13-2052.00,12905.0,Personal Financial Advisors
