anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total
"write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",9971.0,15-1251.00,1270.0,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,4.15,88.75,4.A.2.b.2.I02.D07; 4.A.3.b.1.I01.D03,Modify software programs to improve performance.; Write computer programming code.,4.A.2.b.2.I02; 4.A.3.b.1.I01,0.8726993865030674,0.41871921182266014,0.16971279373368145,0.5139275766016714
"evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",9465.0,15-1254.00,14700.0,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",Core,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",exact,100.0,3,6.0,45.83,4.09,95.83,4.A.1.b.2.I08.D03,Test software performance.,4.A.1.b.2.I08,0.726993865030675,0.4532019704433498,0.2506527415143603,0.5055710306406686
"review, classify, and record survey data in preparation for computer analysis.",9360.0,19-3022.00,7548.0,"Review, classify, and record survey data in preparation for computer analysis.",Core,Survey Researchers,"Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams.",exact,100.0,5,6.0,45.83,4.78,95.83,4.A.1.a.1.I16.D05; 4.A.3.b.6.I08.D18,Classify organisms based on their characteristics or behavior.; Record research or operational data.,4.A.1.a.1.I16; 4.A.3.b.6.I08,0.8696319018404909,0.6617405582922826,0.16449086161879892,0.6128133704735377
"portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.",9115.0,27-2011.00,7649.0,"Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.",Core,Actors,"Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.",exact,100.0,2,1.0,45.42,4.73,98.07,4.A.4.a.8.I01.D05,Entertain public with comedic or dramatic performances.,4.A.4.a.8.I01,0.46165644171779147,0.5270935960591134,0.09921671018276759,0.33565459610027876
"read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",8815.0,15-1211.00,3480.0,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",Core,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",exact,100.0,3,5.0,50.71,3.21,76.98,4.A.1.a.1.I02.D07,Read documents to gather technical information.,4.A.1.a.1.I02,0.7055214723926381,0.43842364532019695,0.5874673629242819,0.6692200557103064
"compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",7532.0,15-1251.00,1269.0,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,3.56,99.79,4.A.3.b.6.I09.D05,Document design or development procedures.,4.A.3.b.6.I09,0.8726993865030674,0.41871921182266014,0.16971279373368145,0.5139275766016714
"diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",7442.0,15-1244.00,15205.0,"Diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",Core,Network and Computer Systems Administrators,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",exact,100.0,4,6.0,52.37,4.08,97.96,4.A.3.b.1.I04.D01; 4.A.3.b.1.I04.D02; 4.A.3.b.1.I04.D03,Resolve computer network problems.; Resolve computer software problems.; Troubleshoot issues with computer applications or systems.,4.A.3.b.1.I04,0.6042944785276072,0.24466338259441717,0.5456919060052219,0.5188022284122564
"document software defects, using a bug tracking system, and report defects to software developers.",7363.0,15-1253.00,14641.0,"Document software defects, using a bug tracking system, and report defects to software developers.",Core,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,4.68,100.0,4.A.2.a.2.I03.D02; 4.A.4.a.2.I08.D08,Compile technical information or documentation.; Report maintenance or equipment problems to appropriate personnel.,4.A.2.a.2.I03; 4.A.4.a.2.I08,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057
"write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",6941.0,15-1251.00,1273.0,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,4.42,93.78,4.A.2.b.2.I02.D07; 4.A.3.b.1.I01.D03,Modify software programs to improve performance.; Write computer programming code.,4.A.2.b.2.I02; 4.A.3.b.1.I01,0.8726993865030674,0.41871921182266014,0.16971279373368145,0.5139275766016714
"use computers for various applications, such as database management or word processing.",5838.0,43-6014.00,20280.0,"Use computers for various applications, such as database management or word processing.",Core,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Perform routine administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers.",exact,100.0,2,2.0,49.9,4.22,100.0,4.A.3.b.1.I05.D01,Operate computers or computerized equipment.,4.A.3.b.1.I05,0.4003067484662577,0.33169129720853857,0.27676240208877284,0.3196378830083567
"review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",5475.0,15-1211.00,3478.0,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",Supplemental,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",exact,100.0,3,5.0,50.71,3.6,65.95,4.A.2.a.4.I07.D14,Analyze data to identify or resolve operational problems.,4.A.2.a.4.I07,0.7055214723926381,0.43842364532019695,0.5874673629242819,0.6692200557103064
"prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",5300.0,27-3041.00,1776.0,"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",Core,Editors,"Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.",exact,100.0,4,6.0,80.43,4.3,97.96,4.A.2.b.1.I07.D01,Edit written materials.,4.A.2.b.1.I07,0.682515337423313,0.5484400656814451,0.21932114882506523,0.5090529247910864
"store, retrieve, and manipulate data for analysis of system capabilities and requirements.",4863.0,15-1252.00,21676.0,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",exact,100.0,4,,,,,4.A.2.a.1.I07.D06; 4.A.3.b.1.I06.D07,Assess database performance.; Prepare data for analysis.,4.A.2.a.1.I07; 4.A.3.b.1.I06,,,,
provide feedback and recommendations to developers on software usability and functionality.,4824.0,15-1253.00,14653.0,Provide feedback and recommendations to developers on software usability and functionality.,Core,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,4.27,97.06,4.A.4.b.6.I04.D06,Recommend changes to improve computer or information systems.,4.A.4.b.6.I04,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057
"develop factors such as themes, plots, characterizations, psychological analyses, historical environments, action, and dialogue, to create material.",4631.0,27-3043.05,11052.0,"Develop factors such as themes, plots, characterizations, psychological analyses, historical environments, action, and dialogue to create material.",Core,"Poets, Lyricists and Creative Writers","Create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance.",exact,100.0,4,6.0,31.82,4.67,95.45,4.A.3.b.6.I16.D02,Write material for artistic or entertainment purposes.,4.A.3.b.6.I16,0.710122699386503,0.2857142857142858,0.1514360313315927,0.3739554317548749
contact new or existing customers to discuss how specific products or services can meet their needs.,4535.0,41-4011.00,20609.0,Contact new or existing customers to discuss how specific products or services can meet their needs.,Core,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education.",exact,100.0,4,6.0,39.48,4.07,94.64,4.A.4.a.6.I03.D05,Contact current or potential customers to promote products or services.,4.A.4.a.6.I03,0.3052147239263803,0.42692939244663386,0.11749347258485639,0.23189415041782735
"conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",4436.0,15-1221.00,14629.0,"Conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",Core,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",exact,100.0,5,6.0,36.22,3.61,93.37,4.A.2.a.4.I04.D02,Analyze data to identify trends or relationships among variables.,4.A.2.a.4.I04,0.9064417177914111,0.48440065681445005,0.36292428198433424,0.6601671309192203
correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,4402.0,15-1251.00,1267.0,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,4.38,93.87,4.A.1.b.2.I08.D03; 4.A.3.b.1.I04.D03,Resolve computer software problems.; Test software performance.,4.A.1.b.2.I08; 4.A.3.b.1.I04,0.8726993865030674,0.41871921182266014,0.16971279373368145,0.5139275766016714
"identify, investigate, or resolve security breaches.",4065.0,11-3013.01,21298.0,"Identify, investigate, or resolve security breaches.",,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",exact,100.0,4,,,,,4.A.1.a.2.I07.D07,Maintain surveillance of individuals or establishments.,4.A.1.a.2.I07,,,,
"keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",4029.0,43-4051.00,2578.0,"Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",Core,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",exact,100.0,2,2.0,54.76,4.53,82.21,4.A.3.b.6.I10.D03,Maintain financial or account records.,4.A.3.b.6.I10,0.49693251533742333,0.497536945812808,0.32375979112271536,0.4589136490250698
assess the usefulness of pre-developed application packages and adapt them to a user environment.,4002.0,15-1211.00,3475.0,Assess the usefulness of pre-developed application packages and adapt them to a user environment.,Core,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",exact,100.0,3,5.0,50.71,3.34,86.76,4.A.2.a.1.I07.D08; 4.A.2.b.2.I02.D07,Evaluate utility of software or hardware technologies.; Modify software programs to improve performance.,4.A.2.a.1.I07; 4.A.2.b.2.I02,0.7055214723926381,0.43842364532019695,0.5874673629242819,0.6692200557103064
"evaluate and grade students' class work, assignments, and papers.",3987.0,25-1011.00,5663.0,"Evaluate and grade students' class work, assignments, and papers.",Core,"Business Teachers, Postsecondary","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",exact,100.0,5,11.0,72.77,4.59,100.0,4.A.2.a.1.I03.D04,Evaluate student work.,4.A.2.a.1.I03,0.682515337423313,0.5254515599343187,0.18276762402088773,0.47980501392757685
prepare appropriate formatting to data sets as requested.,3973.0,15-2051.02,16268.0,Prepare appropriate formatting to data sets as requested.,Core,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",exact,100.0,4,6.0,85.0,4.0,90.0,4.A.3.b.1.I06.D07,Prepare data for analysis.,4.A.3.b.1.I06,0.6319018404907975,0.5582922824302134,0.08093994778067887,0.41643454038997213
"perform initial debugging procedures by reviewing configuration files, logs, or code pieces to determine breakdown source.",3773.0,15-1253.00,14661.0,"Perform initial debugging procedures by reviewing configuration files, logs, or code pieces to determine breakdown source.",Core,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,3.66,85.29,4.A.1.a.1.I02.D07; 4.A.1.b.2.I08.D03,Read documents to gather technical information.; Test software performance.,4.A.1.a.1.I02; 4.A.1.b.2.I08,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057
write supporting code for web applications or web sites.,3654.0,15-1254.00,14707.0,Write supporting code for Web applications or Web sites.,Core,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",exact,100.0,3,6.0,45.83,4.58,100.0,4.A.2.b.2.I02.D08; 4.A.3.b.1.I01.D03,Design websites or web applications.; Write computer programming code.,4.A.2.b.2.I02; 4.A.3.b.1.I01,0.726993865030675,0.4532019704433498,0.2506527415143603,0.5055710306406686
"compile, record, and code results or data from interview or survey, using computer or specified form.",3626.0,43-4111.00,2629.0,"Compile, record, and code results or data from interview or survey, using computer or specified form.",Core,"Interviewers, Except Eligibility and Loan","Interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires. Ask specific questions, record answers, and assist persons with completing form. May sort, classify, and file forms.",exact,100.0,3,2.0,42.42,4.22,67.69,4.A.2.a.2.I03.D03; 4.A.3.b.1.I06.D08,Code data or other information.; Compile data or documentation.,4.A.2.a.2.I03; 4.A.3.b.1.I06,0.6426380368098159,0.6945812807881774,0.227154046997389,0.5571030640668523
develop new software applications or customize existing applications to meet specific scientific project needs.,3504.0,19-1029.01,16786.0,Develop new software applications or customize existing applications to meet specific scientific project needs.,Core,Bioinformatics Scientists,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",exact,100.0,5,6.0,33.61,4.3,84.9,4.A.2.b.2.I02.D06,Develop software or applications for scientific or technical use.,4.A.2.b.2.I02,0.9647239263803681,0.6272577996715928,0.21148825065274152,0.6664345403899722
use nondisciplinary tools and equipment such as a computer.,3292.0,33-3012.00,15261.0,"Use nondisciplinary tools and equipment, such as a computer.",Core,Correctional Officers and Jailers,"Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions.",exact,100.0,2,2.0,92.43,4.25,91.47,,,,0.5598159509202454,0.6748768472906406,0.45691906005221933,0.6337047353760447
"develop and direct software system testing and validation procedures, programming, and documentation.",3116.0,15-1252.00,21669.0,"Develop or direct software system testing or validation procedures, programming, or documentation.",,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",fuzzy,92.2279792746114,4,,,,,4.A.2.b.4.I03.D15; 4.A.4.b.4.I06.D07,Develop testing routines or procedures.; Manage information technology projects or system activities.,4.A.2.b.4.I03; 4.A.4.b.4.I06,,,,
"write advertising copy for use by publication, broadcast, or internet media to promote the sale of goods and services.",3067.0,27-3043.00,22670.0,"Write advertising material for use by publication, broadcast, or internet media to promote the sale of goods and services.",,Writers and Authors,"Originate and prepare written material, such as scripts, stories, advertisements, and other material.",fuzzy,94.87179487179486,4,6.0,46.95,,,4.A.3.b.6.I16.D03,Write advertising or promotional material.,4.A.3.b.6.I16,0.4248466257668712,0.5418719211822661,0.005221932114882511,0.2750696378830085
"perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",2990.0,15-1251.00,1272.0,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,4.37,100.0,4.A.2.b.2.I02.D07,Modify software programs to improve performance.,4.A.2.b.2.I02,0.8726993865030674,0.41871921182266014,0.16971279373368145,0.5139275766016714
"write original or adapted material for dramas, comedies, puppet shows, narration, or other performances.",2962.0,27-2011.00,7654.0,"Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances.",Supplemental,Actors,"Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.",exact,100.0,2,1.0,45.42,3.39,53.47,4.A.3.b.6.I16.D02,Write material for artistic or entertainment purposes.,4.A.3.b.6.I16,0.46165644171779147,0.5270935960591134,0.09921671018276759,0.33565459610027876
classify and catalog items according to content and purpose.,2961.0,43-4121.00,2654.0,Classify and catalog items according to content and purpose.,Supplemental,"Library Assistants, Clerical","Compile records, and sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides and microfilm. Locate library materials for loan and replace material in shelving area, stacks, or files according to identification number and title. Register patrons to permit them to borrow books, periodicals, and other library materials.",exact,100.0,2,2.0,49.83,4.28,53.02,4.A.2.a.2.I02.D06,Sort materials or products.,4.A.2.a.2.I02,0.40184049079754597,0.4876847290640394,0.21932114882506523,0.35584958217270196
"prepare data for processing by organizing information, checking for any inaccuracies, and adjusting and weighting the raw data.",2842.0,15-2041.00,8957.0,"Prepare data for processing by organizing information, checking for inaccuracies, and adjusting and weighting the raw data.",Core,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",fuzzy,98.36065573770492,5,8.0,61.9,4.48,100.0,4.A.2.a.2.I01.D06; 4.A.3.b.1.I06.D07,Evaluate data quality.; Prepare data for analysis.,4.A.2.a.2.I01; 4.A.3.b.1.I06,0.8849693251533742,0.48440065681445005,0.09399477806788509,0.5069637883008357
"troubleshoot problems involving office equipment, such as computer hardware and software.",2788.0,43-9061.00,844.0,"Troubleshoot problems involving office equipment, such as computer hardware and software.",Supplemental,"Office Clerks, General","Perform duties too varied and diverse to be classified in any specific office clerical occupation, requiring knowledge of office systems and procedures. Clerical duties may be assigned in accordance with the office procedures of individual establishments and may include a combination of answering telephones, bookkeeping, typing or word processing, office machine operation, and filing.",exact,100.0,2,2.0,40.59,2.95,66.67,4.A.3.b.4.I02.D04,Maintain office equipment in proper operating condition.,4.A.3.b.4.I02,0.3527607361963191,0.33825944170771755,0.27154046997389036,0.2980501392757661
