anthropic_task,api_count,task_norm
"interpret engineering drawings, sketches, or diagrams.",139.0,interpret engineering drawings sketches or diagrams
write reports or research proposals.,138.0,write reports or research proposals
"develop tests, questionnaires, and procedures that measure the effectiveness of curricula and use these tools to determine whether program objectives are being met.",135.0,develop tests questionnaires and procedures that measure the effectiveness of curricula and use these tools to determine whether program objectives are being met
interview applicants and request specified information for loan applications.,129.0,interview applicants and request specified information for loan applications
write computer or microprocessor software programs.,128.0,write computer or microprocessor software programs
edit news material to ensure that it fits within available time or space.,110.0,edit news material to ensure that it fits within available time or space
"perform before live audiences, or in television, radio, or movie productions.",105.0,perform before live audiences or in television radio or movie productions
"provide customers with information about the uses, effects, or interactions of drugs.",104.0,provide customers with information about the uses effects or interactions of drugs
"provide technical advice on the use of current instructional technologies, including computer-based training, desktop videoconferencing, multimedia, and distance learning technologies.",99.0,provide technical advice on the use of current instructional technologies including computerbased training desktop videoconferencing multimedia and distance learning technologies
evaluate data and write reports to validate or indicate deviations from existing standards.,94.0,evaluate data and write reports to validate or indicate deviations from existing standards
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",94.0,analyze geographic information systems gis data to identify spatial relationships or display results of analyses using maps graphs or tabular data
"develop prospects from current commercial customers, referral leads, or sales or trade meetings.",90.0,develop prospects from current commercial customers referral leads or sales or trade meetings
monitor supplier performance to assess ability to meet quality and delivery requirements.,83.0,monitor supplier performance to assess ability to meet quality and delivery requirements
consult with customers about software system design and maintenance.,82.0,consult with customers about software system design and maintenance
"identify potential clients, using advertising campaigns, mailing lists, or personal contacts.",81.0,identify potential clients using advertising campaigns mailing lists or personal contacts
"manage security programs designed to protect personnel, facilities, and information.",79.0,manage security programs designed to protect personnel facilities and information
"appraise, evaluate, and inventory real property and equipment, recording information such as the description, value, and location of property.",77.0,appraise evaluate and inventory real property and equipment recording information such as the description value and location of property
operate spreadsheet programs and other types of software to load and manipulate data and to produce reports.,75.0,operate spreadsheet programs and other types of software to load and manipulate data and to produce reports
"design security policies, programs, or practices to ensure adequate security relating to issues such as protection of assets, alarm response, and access card use.",75.0,design security policies programs or practices to ensure adequate security relating to issues such as protection of assets alarm response and access card use
"develop, recommend, or manage security procedures for operations or processes, such as security call centers, system acquisition, development, and maintenance, access control, program models, or reporting tools.",71.0,develop recommend or manage security procedures for operations or processes such as security call centers system acquisition development and maintenance access control program models or reporting tools
"design and direct nuclear research projects to discover facts, to test or modify theoretical models, or to develop new theoretical models or new uses for current models.",69.0,design and direct nuclear research projects to discover facts to test or modify theoretical models or to develop new theoretical models or new uses for current models
"provide technical or logistical support to users of distance learning classrooms, equipment, web sites, or services.",68.0,provide technical or logistical support to users of distance learning classrooms equipment web sites or services
"synthesize analyses of test results, and use the results to prepare technical reports of findings and recommendations.",67.0,synthesize analyses of test results and use the results to prepare technical reports of findings and recommendations
interpret imaging data and confer with other medical specialists to formulate diagnoses.,67.0,interpret imaging data and confer with other medical specialists to formulate diagnoses
"review financial periodicals, stock and bond reports, business publications, or other material to identify potential investments for clients or to keep abreast of trends affecting market conditions.",66.0,review financial periodicals stock and bond reports business publications or other material to identify potential investments for clients or to keep abreast of trends affecting market conditions
"gather information about events through research, interviews, experience, or attendance at political, news, sports, artistic, social, or other functions.",66.0,gather information about events through research interviews experience or attendance at political news sports artistic social or other functions
prepare project reports and other program or technical documentation.,65.0,prepare project reports and other program or technical documentation
identify and compile database information to create maps in response to requests.,65.0,identify and compile database information to create maps in response to requests
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,64.0,analyze data to assess distance learning program status or to inform decisions for distance learning programs
edit or assist in editing videos for broadcast.,63.0,edit or assist in editing videos for broadcast
"develop lists of prospective clients from sources such as newspaper items, company records, local merchants, or customers.",62.0,develop lists of prospective clients from sources such as newspaper items company records local merchants or customers
"explain the origins and physical, social, or cultural development of humans, including physical attributes, cultural traditions, beliefs, languages, resource management practices, and settlement patterns.",61.0,explain the origins and physical social or cultural development of humans including physical attributes cultural traditions beliefs languages resource management practices and settlement patterns
"communicate to faculty, students, or other users availability of, or changes to, distance learning courses or materials, programs, services, or applications.",60.0,communicate to faculty students or other users availability of or changes to distance learning courses or materials programs services or applications
provide guidelines for implementing secure systems to customers or installation teams.,59.0,provide guidelines for implementing secure systems to customers or installation teams
"prepare financial reports, such as reviews of portfolio positions.",58.0,prepare financial reports such as reviews of portfolio positions
"design silver articles, such as jewelry and serving pieces.",56.0,design silver articles such as jewelry and serving pieces
"modify, maintain, and repair electronics equipment and systems to ensure that they function properly.",55.0,modify maintain and repair electronics equipment and systems to ensure that they function properly
notify supervisor or computer maintenance technicians of equipment malfunctions.,55.0,notify supervisor or computer maintenance technicians of equipment malfunctions
"track and trace goods while they are en route to their destinations, expediting orders when necessary.",55.0,track and trace goods while they are en route to their destinations expediting orders when necessary
"plan, direct, and coordinate risk and insurance programs of establishments to control risks and losses.",54.0,plan direct and coordinate risk and insurance programs of establishments to control risks and losses
"inspect properties to evaluate construction, condition, special features, and functional design, and to take property measurements.",54.0,inspect properties to evaluate construction condition special features and functional design and to take property measurements
compile information or prepare reports on nanotechnology experiments or applications.,54.0,compile information or prepare reports on nanotechnology experiments or applications
"care for children or elderly persons by overseeing their activities, providing companionship, and assisting them with dressing, bathing, eating, and other needs.",53.0,care for children or elderly persons by overseeing their activities providing companionship and assisting them with dressing bathing eating and other needs
"monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns and determine what the company will sell and how much inventory is needed.",50.0,monitor and analyze sales records trends or economic conditions to anticipate consumer buying patterns and determine what the company will sell and how much inventory is needed
"prepare real estate closing statements, using knowledge and expertise in real estate procedures.",49.0,prepare real estate closing statements using knowledge and expertise in real estate procedures
"compile cue words and phrases and cue announcers, cast members, and technicians during performances.",49.0,compile cue words and phrases and cue announcers cast members and technicians during performances
"conduct and score oral, visual, written, or performance tests to determine applicant qualifications and notify applicants of their scores.",48.0,conduct and score oral visual written or performance tests to determine applicant qualifications and notify applicants of their scores
"write software programs for microcontrollers or computers in machine, assembly, or other languages.",46.0,write software programs for microcontrollers or computers in machine assembly or other languages
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",46.0,analyze data such as interview notes test results and reference manuals to identify symptoms and to diagnose the nature of clients problems
read corporate reports and calculate ratios to determine best prospects for profit on stock purchases.,43.0,read corporate reports and calculate ratios to determine best prospects for profit on stock purchases
"plan and coordinate the production of musical recordings, selecting music and directing performers.",43.0,plan and coordinate the production of musical recordings selecting music and directing performers
analyze potential loan markets to find opportunities to promote loans and financial services.,41.0,analyze potential loan markets to find opportunities to promote loans and financial services
inform and advise concerned parties regarding fluctuations or securities transactions affecting plans or accounts.,41.0,inform and advise concerned parties regarding fluctuations or securities transactions affecting plans or accounts
"arrange financing of deals from sources such as financial institutions, agencies, or public or private companies.",39.0,arrange financing of deals from sources such as financial institutions agencies or public or private companies
develop an understanding of fields to which statistical methods are to be applied to determine whether methods and results are appropriate.,39.0,develop an understanding of fields to which statistical methods are to be applied to determine whether methods and results are appropriate
evaluate the effectiveness of distance learning programs in promoting knowledge or skill acquisition.,38.0,evaluate the effectiveness of distance learning programs in promoting knowledge or skill acquisition
"instruct users in the selection, use, and design of audio-visual materials and assist them in the preparation of instructional materials and the rehearsal of presentations.",35.0,instruct users in the selection use and design of audiovisual materials and assist them in the preparation of instructional materials and the rehearsal of presentations
"counsel individuals and groups regarding problems, such as stress, substance abuse, and family situations, to modify behavior or to improve personal, social, and vocational adjustment.",35.0,counsel individuals and groups regarding problems such as stress substance abuse and family situations to modify behavior or to improve personal social and vocational adjustment
ensure adherence to safety rules and practices.,35.0,ensure adherence to safety rules and practices
"provide protection for individuals, such as government leaders, political candidates, and visiting foreign dignitaries.",32.0,provide protection for individuals such as government leaders political candidates and visiting foreign dignitaries
confer with clients to provide marketing or technical advice.,32.0,confer with clients to provide marketing or technical advice
explain and enforce safety regulations and policies.,32.0,explain and enforce safety regulations and policies
"prepare or maintain design, testing, or operational records and documentation.",29.0,prepare or maintain design testing or operational records and documentation
"write changes directly into compositions, or use computer software to make changes.",26.0,write changes directly into compositions or use computer software to make changes
"develop or provide technical resources, such as course management and videoconferencing systems, networking, and webcasting, for distance learning programs.",26.0,develop or provide technical resources such as course management and videoconferencing systems networking and webcasting for distance learning programs
organize production and design of curriculum materials.,26.0,organize production and design of curriculum materials
"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",26.0,advise retail customers or internal users on the appropriateness of parts supplies or materials requested
"inform prospective purchasers about models, numbers, and prices of garments, the garments' designers, and where garments can be purchased.",25.0,inform prospective purchasers about models numbers and prices of garments the garments designers and where garments can be purchased
explain treatment procedures to patients.,24.0,explain treatment procedures to patients
"reconcile account-related statements, such as quarterly or annual statements or confirmations.",24.0,reconcile accountrelated statements such as quarterly or annual statements or confirmations
"identify key individual cultural collaborators, using reputational and positional selection techniques.",23.0,identify key individual cultural collaborators using reputational and positional selection techniques
"administer highway planning, construction, or maintenance.",23.0,administer highway planning construction or maintenance
insulate shells and cabinets of systems.,22.0,insulate shells and cabinets of systems
prepare cost estimates for clients.,22.0,prepare cost estimates for clients
provide technical support during software installation or configuration.,22.0,provide technical support during software installation or configuration
"update operational records or licensing information, using computer terminals.",22.0,update operational records or licensing information using computer terminals
"communicate technical or marketing information about distance learning via podcasts, webinars, and other technologies.",21.0,communicate technical or marketing information about distance learning via podcasts webinars and other technologies
"write reports or record data on testing techniques, laboratory equipment, or specifications to assist engineers.",21.0,write reports or record data on testing techniques laboratory equipment or specifications to assist engineers
"observe and provide feedback on instructional techniques, presentation methods, or instructional aids.",21.0,observe and provide feedback on instructional techniques presentation methods or instructional aids
resolve customer or employee complaints.,20.0,resolve customer or employee complaints
"examine records, tax returns, and related documents pertaining to settlement of decedent's estate.",20.0,examine records tax returns and related documents pertaining to settlement of decedents estate
"prepare or direct preparation of correspondence, reports, and operations, maintenance, and safety manuals.",20.0,prepare or direct preparation of correspondence reports and operations maintenance and safety manuals
provide technical support for computer-based geographic information systems (gis) mapping software.,19.0,provide technical support for computerbased geographic information systems gis mapping software
arrange reservations for patrons of dining establishments.,19.0,arrange reservations for patrons of dining establishments
render sequential drawings that can be turned into animated films or advertisements.,18.0,render sequential drawings that can be turned into animated films or advertisements
"prepare and maintain records and reports of inventories, price lists, shortages, shipments, expenditures, and goods used or issued.",18.0,prepare and maintain records and reports of inventories price lists shortages shipments expenditures and goods used or issued
make many quick changes backstage during fashion shows and yet maintain poised appearance before audiences.,18.0,make many quick changes backstage during fashion shows and yet maintain poised appearance before audiences
take dining reservations.,18.0,take dining reservations
compile information on governmental incentive programs related to the installation of energy or water saving plumbing systems or devices.,17.0,compile information on governmental incentive programs related to the installation of energy or water saving plumbing systems or devices
prepare documents needed to implement plans selected by clients.,17.0,prepare documents needed to implement plans selected by clients
"operate robots to perform customized tasks, such as environmental cleanup or explosive detection operations.",17.0,operate robots to perform customized tasks such as environmental cleanup or explosive detection operations
"devise scalable recovery, purification, or fermentation processes for producing proteins or other biological substances for human or animal therapeutic use, food production or processing, biofuels, or effluent treatment.",16.0,devise scalable recovery purification or fermentation processes for producing proteins or other biological substances for human or animal therapeutic use food production or processing biofuels or effluent treatment
label and record contents of exposed film and note details on report forms.,16.0,label and record contents of exposed film and note details on report forms
"implement or monitor carbon or environmental management, accounting, or audit systems.",16.0,implement or monitor carbon or environmental management accounting or audit systems
provide support to technical sales staff regarding product characteristics.,16.0,provide support to technical sales staff regarding product characteristics
obtain building blueprints or specifications for use by engineering departments in bid preparations.,16.0,obtain building blueprints or specifications for use by engineering departments in bid preparations
generate or identify sales leads for green products and technologies.,16.0,generate or identify sales leads for green products and technologies
respond to customers' or shippers' questions and complaints regarding storage and distribution services.,16.0,respond to customers or shippers questions and complaints regarding storage and distribution services
negotiate payment arrangements with customers who have delinquent loans.,16.0,negotiate payment arrangements with customers who have delinquent loans
"study effects of various methods of processing, preserving, or packaging on composition or properties of foods.",16.0,study effects of various methods of processing preserving or packaging on composition or properties of foods
analyze product complaints and make recommendations regarding their reportability.,15.0,analyze product complaints and make recommendations regarding their reportability
review securities transactions to ensure conformance to regulations.,15.0,review securities transactions to ensure conformance to regulations
measure and record data associated with operating equipment.,15.0,measure and record data associated with operating equipment
inspect public establishments to ensure compliance with rules and regulations.,15.0,inspect public establishments to ensure compliance with rules and regulations
perform before live audiences.,15.0,perform before live audiences
