soc_code,occ_title,employment,wage_annual_mean,wage_annual_median,wage_hourly_mean,year
11-9111,Medical and Health Services Managers,476750,127980.0,104830.0,61.53,2022
11-9120,Natural Sciences Managers,82570,163610.0,144440.0,78.66,2022
11-9121,Natural Sciences Managers,82570,163610.0,144440.0,78.66,2022
11-9130,Postmasters and Mail Superintendents,13460,84190.0,82760.0,40.48,2022
11-9131,Postmasters and Mail Superintendents,13460,84190.0,82760.0,40.48,2022
11-9140,"Property, Real Estate, and Community Association Managers",261120,76110.0,60670.0,36.59,2022
11-9141,"Property, Real Estate, and Community Association Managers",261120,76110.0,60670.0,36.59,2022
11-9150,Social and Community Service Managers,162880,79310.0,74240.0,38.13,2022
11-9151,Social and Community Service Managers,162880,79310.0,74240.0,38.13,2022
11-9160,Emergency Management Directors,11290,88890.0,79180.0,42.74,2022
11-9161,Emergency Management Directors,11290,88890.0,79180.0,42.74,2022
11-9170,Personal Service Managers,22520,75250.0,62120.0,36.18,2022
11-9171,Funeral Home Managers,13680,84770.0,72110.0,40.76,2022
11-9179,"Personal Service Managers, All Other",8840,60510.0,56090.0,29.09,2022
11-9190,Miscellaneous Managers,543290,141190.0,128620.0,67.88,2022
11-9199,"Managers, All Other",543290,141190.0,128620.0,67.88,2022
13-0000,Business and Financial Operations Occupations,9677720,86080.0,76850.0,41.39,2022
13-1000,Business Operations Specialists,6660810,83280.0,76050.0,40.04,2022
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",13130,120100.0,82530.0,57.74,2022
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13130,120100.0,82530.0,57.74,2022
13-1020,Buyers and Purchasing Agents,464880,75140.0,67620.0,36.13,2022
13-1020,Buyers and Purchasing Agents,464880,75140.0,67620.0,36.13,2022
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",296700,73320.0,72040.0,35.25,2022
13-1031,"Claims Adjusters, Examiners, and Investigators",285270,73380.0,72230.0,35.28,2022
13-1032,"Insurance Appraisers, Auto Damage",11430,71580.0,69380.0,34.42,2022
13-1040,Compliance Officers,359640,76980.0,71690.0,37.01,2022
13-1041,Compliance Officers,359640,76980.0,71690.0,37.01,2022
13-1050,Cost Estimators,225310,76740.0,71200.0,36.89,2022
13-1051,Cost Estimators,225310,76740.0,71200.0,36.89,2022
13-1070,Human Resources Workers,898110,74060.0,65000.0,35.61,2022
13-1071,Human Resources Specialists,835360,73080.0,64240.0,35.13,2022
13-1074,Farm Labor Contractors,550,54630.0,49330.0,26.26,2022
13-1075,Labor Relations Specialists,62200,87470.0,82010.0,42.05,2022
13-1080,Logisticians and Project Management Specialists,1046880,97660.0,88050.0,46.95,2022
13-1081,Logisticians,202970,81220.0,77520.0,39.05,2022
13-1082,Project Management Specialists,843910,101610.0,95370.0,48.85,2022
13-1110,Management Analysts,808860,104660.0,95290.0,50.32,2022
13-1111,Management Analysts,808860,104660.0,95290.0,50.32,2022
13-1120,"Meeting, Convention, and Event Planners",112070,58750.0,52560.0,28.24,2022
13-1121,"Meeting, Convention, and Event Planners",112070,58750.0,52560.0,28.24,2022
13-1130,Fundraisers,94630,66670.0,61190.0,32.06,2022
13-1131,Fundraisers,94630,66670.0,61190.0,32.06,2022
13-1140,"Compensation, Benefits, and Job Analysis Specialists",93550,75920.0,67780.0,36.5,2022
13-1141,"Compensation, Benefits, and Job Analysis Specialists",93550,75920.0,67780.0,36.5,2022
13-1150,Training and Development Specialists,367180,69870.0,63080.0,33.59,2022
13-1151,Training and Development Specialists,367180,69870.0,63080.0,33.59,2022
13-1160,Market Research Analysts and Marketing Specialists,798620,78880.0,68230.0,37.92,2022
13-1161,Market Research Analysts and Marketing Specialists,798620,78880.0,68230.0,37.92,2022
13-1190,Miscellaneous Business Operations Specialists,1081230,82670.0,75990.0,39.75,2022
13-1199,"Business Operations Specialists, All Other",1081230,82670.0,75990.0,39.75,2022
13-2000,Financial Specialists,3016910,92290.0,78180.0,44.37,2022
13-2010,Accountants and Auditors,1402420,86740.0,78000.0,41.7,2022
13-2011,Accountants and Auditors,1402420,86740.0,78000.0,41.7,2022
13-2020,Property Appraisers and Assessors,59970,80460.0,61560.0,38.68,2022
13-2020,Property Appraisers and Assessors,59970,80460.0,61560.0,38.68,2022
13-2030,Budget Analysts,48430,87680.0,82260.0,42.16,2022
13-2031,Budget Analysts,48430,87680.0,82260.0,42.16,2022
13-2040,Credit Analysts,71960,92180.0,78850.0,44.32,2022
13-2041,Credit Analysts,71960,92180.0,78850.0,44.32,2022
13-2050,Financial Analysts and Advisors,736130,116770.0,90680.0,56.14,2022
13-2051,Financial and Investment Analysts,291370,108790.0,95080.0,52.3,2022
13-2052,Personal Financial Advisors,283060,137740.0,95390.0,66.22,2022
13-2053,Insurance Underwriters,105900,82990.0,76230.0,39.9,2022
13-2054,Financial Risk Specialists,55800,116140.0,102120.0,55.84,2022
13-2060,Financial Examiners,63370,95610.0,82210.0,45.97,2022
13-2061,Financial Examiners,63370,95610.0,82210.0,45.97,2022
13-2070,Credit Counselors and Loan Officers,374640,81640.0,63650.0,39.25,2022
13-2071,Credit Counselors,29090,51650.0,47320.0,24.83,2022
13-2072,Loan Officers,345550,84160.0,65740.0,40.46,2022
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",132980,59100.0,51830.0,28.42,2022
13-2081,"Tax Examiners and Collectors, and Revenue Agents",50610,64410.0,57950.0,30.97,2022
13-2082,Tax Preparers,82370,55840.0,48250.0,26.85,2022
13-2090,Miscellaneous Financial Specialists,127020,83580.0,73810.0,40.18,2022
13-2099,"Financial Specialists, All Other",127020,83580.0,73810.0,40.18,2022
15-0000,Computer and Mathematical Occupations,5003910,108130.0,100440.0,51.99,2022
15-1200,Computer Occupations,4677500,108100.0,100530.0,51.97,2022
15-1210,Computer and Information Analysts,668900,110550.0,104230.0,53.15,2022
15-1211,Computer Systems Analysts,505210,107530.0,102240.0,51.7,2022
15-1212,Information Security Analysts,163690,119860.0,112000.0,57.63,2022
15-1220,Computer and Information Research Scientists,33780,155880.0,136620.0,74.94,2022
15-1221,Computer and Information Research Scientists,33780,155880.0,136620.0,74.94,2022
15-1230,Computer Support Specialists,865750,64410.0,59660.0,30.97,2022
15-1231,Computer Network Support Specialists,168920,76060.0,68050.0,36.57,2022
15-1232,Computer User Support Specialists,696830,61580.0,57890.0,29.61,2022
15-1240,Database and Network Administrators and Architects,642840,110400.0,103270.0,53.08,2022
15-1241,Computer Network Architects,173920,129490.0,126900.0,62.25,2022
15-1242,Database Administrators,80520,102530.0,99890.0,49.29,2022
15-1243,Database Architects,62470,136540.0,134870.0,65.65,2022
15-1244,Network and Computer Systems Administrators,325930,97160.0,90520.0,46.71,2022
15-1250,"Software and Web Developers, Programmers, and Testers",2049920,124940.0,114190.0,60.07,2022
15-1251,Computer Programmers,132740,102790.0,97800.0,49.42,2022
15-1252,Software Developers,1534790,132930.0,127260.0,63.91,2022
15-1253,Software Quality Assurance Analysts and Testers,196420,105750.0,99620.0,50.84,2022
15-1254,Web Developers,88620,87580.0,78580.0,42.11,2022
15-1255,Web and Digital Interface Designers,97350,101740.0,83240.0,48.91,2022
15-1290,Miscellaneous Computer Occupations,416320,104660.0,98740.0,50.32,2022
15-1299,"Computer Occupations, All Other",416320,104660.0,98740.0,50.32,2022
15-2000,Mathematical Science Occupations,326400,108620.0,99590.0,52.22,2022
15-2010,Actuaries,25010,127580.0,113990.0,61.34,2022
15-2011,Actuaries,25010,127580.0,113990.0,61.34,2022
15-2020,Mathematicians,2070,113860.0,112110.0,54.74,2022
15-2021,Mathematicians,2070,113860.0,112110.0,54.74,2022
15-2030,Operations Research Analysts,105080,95820.0,85720.0,46.07,2022
15-2031,Operations Research Analysts,105080,95820.0,85720.0,46.07,2022
15-2040,Statisticians,30780,105510.0,98920.0,50.73,2022
15-2041,Statisticians,30780,105510.0,98920.0,50.73,2022
15-2050,Data Scientists,159630,115240.0,103500.0,55.4,2022
15-2051,Data Scientists,159630,115240.0,103500.0,55.4,2022
15-2090,Miscellaneous Mathematical Science Occupations,3840,82160.0,71700.0,39.5,2022
15-2099,"Mathematical Science Occupations, All Other",3840,82160.0,71700.0,39.5,2022
17-0000,Architecture and Engineering Occupations,2481170,94670.0,83700.0,45.52,2022
17-1000,"Architects, Surveyors, and Cartographers",186640,86670.0,79000.0,41.67,2022
17-1010,"Architects, Except Naval",125610,93810.0,81640.0,45.1,2022
17-1011,"Architects, Except Landscape and Naval",107490,96510.0,82840.0,46.4,2022
17-1012,Landscape Architects,18120,77820.0,73210.0,37.41,2022
17-1020,"Surveyors, Cartographers, and Photogrammetrists",61030,71980.0,64710.0,34.61,2022
17-1021,Cartographers and Photogrammetrists,13270,75300.0,71890.0,36.2,2022
17-1022,Surveyors,47770,71060.0,63080.0,34.16,2022
17-2000,Engineers,1659230,107170.0,100030.0,51.53,2022
17-2010,Aerospace Engineers,61580,127090.0,126880.0,61.1,2022
17-2011,Aerospace Engineers,61580,127090.0,126880.0,61.1,2022
17-2020,Agricultural Engineers,1500,90710.0,83260.0,43.61,2022
17-2021,Agricultural Engineers,1500,90710.0,83260.0,43.61,2022
17-2030,Bioengineers and Biomedical Engineers,19210,108060.0,99550.0,51.95,2022
17-2031,Bioengineers and Biomedical Engineers,19210,108060.0,99550.0,51.95,2022
17-2040,Chemical Engineers,20380,117820.0,106260.0,56.64,2022
17-2041,Chemical Engineers,20380,117820.0,106260.0,56.64,2022
17-2050,Civil Engineers,307570,97380.0,89940.0,46.82,2022
17-2051,Civil Engineers,307570,97380.0,89940.0,46.82,2022
17-2060,Computer Hardware Engineers,74640,140830.0,132360.0,67.71,2022
17-2061,Computer Hardware Engineers,74640,140830.0,132360.0,67.71,2022
17-2070,Electrical and Electronics Engineers,288860,115680.0,104610.0,55.62,2022
17-2071,Electrical Engineers,182210,114050.0,103320.0,54.83,2022
17-2072,"Electronics Engineers, Except Computer",106640,118460.0,108170.0,56.95,2022
17-2080,Environmental Engineers,45440,101670.0,96530.0,48.88,2022
17-2081,Environmental Engineers,45440,101670.0,96530.0,48.88,2022
17-2110,"Industrial Engineers, Including Health and Safety",342920,98880.0,96590.0,47.54,2022
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",21520,103570.0,100660.0,49.79,2022
17-2112,Industrial Engineers,321400,98560.0,96350.0,47.39,2022
17-2120,Marine Engineers and Naval Architects,7450,105560.0,96910.0,50.75,2022
17-2121,Marine Engineers and Naval Architects,7450,105560.0,96910.0,50.75,2022
17-2130,Materials Engineers,21510,105420.0,100140.0,50.69,2022
17-2131,Materials Engineers,21510,105420.0,100140.0,50.69,2022
17-2140,Mechanical Engineers,277560,100820.0,96310.0,48.47,2022
17-2141,Mechanical Engineers,277560,100820.0,96310.0,48.47,2022
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",7390,101290.0,97490.0,48.7,2022
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",7390,101290.0,97490.0,48.7,2022
17-2160,Nuclear Engineers,12250,124540.0,122480.0,59.88,2022
17-2161,Nuclear Engineers,12250,124540.0,122480.0,59.88,2022
17-2170,Petroleum Engineers,20540,142800.0,131800.0,68.66,2022
17-2171,Petroleum Engineers,20540,142800.0,131800.0,68.66,2022
17-2190,Miscellaneous Engineers,150420,111280.0,104600.0,53.5,2022
17-2199,"Engineers, All Other",150420,111280.0,104600.0,53.5,2022
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",635300,64370.0,61090.0,30.95,2022
17-3010,Drafters,192410,63300.0,60400.0,30.43,2022
17-3011,Architectural and Civil Drafters,105960,61660.0,59820.0,29.64,2022
17-3012,Electrical and Electronics Drafters,20930,68640.0,64240.0,33.0,2022
17-3013,Mechanical Drafters,47540,65700.0,61310.0,31.59,2022
17-3019,"Drafters, All Other",17980,60370.0,57640.0,29.02,2022
17-3020,"Engineering Technologists and Technicians, Except Drafters",386310,66780.0,62530.0,32.1,2022
17-3021,Aerospace Engineering and Operations Technologists and Technicians,9750,77060.0,74410.0,37.05,2022
17-3022,Civil Engineering Technologists and Technicians,62350,61480.0,59630.0,29.56,2022
17-3023,Electrical and Electronic Engineering Technologists and Technicians,99050,70810.0,66390.0,34.04,2022
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,14540,65920.0,60570.0,31.69,2022
17-3025,Environmental Engineering Technologists and Technicians,13400,58020.0,50980.0,27.9,2022
17-3026,Industrial Engineering Technologists and Technicians,66560,63470.0,61210.0,30.52,2022
17-3027,Mechanical Engineering Technologists and Technicians,39610,64530.0,61990.0,31.02,2022
17-3028,Calibration Technologists and Technicians,10790,67200.0,62050.0,32.31,2022
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",70250,70550.0,65520.0,33.92,2022
17-3030,Surveying and Mapping Technicians,56580,51570.0,47180.0,24.79,2022
17-3031,Surveying and Mapping Technicians,56580,51570.0,47180.0,24.79,2022
19-0000,"Life, Physical, and Social Science Occupations",1314360,83640.0,74330.0,40.21,2022
19-1000,Life Scientists,318780,96840.0,83060.0,46.56,2022
19-1010,Agricultural and Food Scientists,33250,81250.0,74940.0,39.06,2022
19-1011,Animal Scientists,2520,85870.0,69390.0,41.28,2022
19-1012,Food Scientists and Technologists,14720,85730.0,79860.0,41.22,2022
19-1013,Soil and Plant Scientists,16010,76410.0,65730.0,36.73,2022
19-1020,Biological Scientists,124910,96460.0,86000.0,46.38,2022
19-1021,Biochemists and Biophysicists,32500,114740.0,103810.0,55.16,2022
19-1022,Microbiologists,19710,88950.0,81990.0,42.77,2022
19-1023,Zoologists and Wildlife Biologists,17410,72610.0,67430.0,34.91,2022
19-1029,"Biological Scientists, All Other",55300,95920.0,87300.0,46.11,2022
19-1030,Conservation Scientists and Foresters,32320,69310.0,64420.0,33.32,2022
19-1031,Conservation Scientists,22880,69810.0,64460.0,33.56,2022
19-1032,Foresters,9430,68090.0,64220.0,32.74,2022
19-1040,Medical Scientists,119980,108720.0,97210.0,52.27,2022
19-1041,Epidemiologists,9430,85880.0,78520.0,41.29,2022
19-1042,"Medical Scientists, Except Epidemiologists",110550,110670.0,99930.0,53.21,2022
19-1090,Miscellaneous Life Scientists,8320,100370.0,83930.0,48.26,2022
19-1099,"Life Scientists, All Other",8320,100370.0,83930.0,48.26,2022
19-2000,Physical Scientists,251060,97570.0,83760.0,46.91,2022
19-2010,Astronomers and Physicists,21000,147800.0,139220.0,71.06,2022
19-2011,Astronomers,2160,127460.0,128330.0,61.28,2022
19-2012,Physicists,18840,150130.0,142850.0,72.18,2022
19-2020,Atmospheric and Space Scientists,9900,93610.0,83780.0,45.01,2022
19-2021,Atmospheric and Space Scientists,9900,93610.0,83780.0,45.01,2022
19-2030,Chemists and Materials Scientists,91570,92210.0,81810.0,44.33,2022
19-2031,Chemists,83940,90530.0,80670.0,43.53,2022
19-2032,Materials Scientists,7620,110690.0,104380.0,53.22,2022
19-2040,Environmental Scientists and Geoscientists,108780,89350.0,78730.0,42.96,2022
19-2041,"Environmental Scientists and Specialists, Including Health",77270,83820.0,76480.0,40.3,2022
19-2042,"Geoscientists, Except Hydrologists and Geographers",25230,104560.0,87480.0,50.27,2022
19-2043,Hydrologists,6270,96300.0,85990.0,46.3,2022
19-2090,Miscellaneous Physical Scientists,19820,116230.0,107970.0,55.88,2022
19-2099,"Physical Scientists, All Other",19820,116230.0,107970.0,55.88,2022
19-3000,Social Scientists and Related Workers,256110,94560.0,84000.0,45.46,2022
19-3010,Economists,16370,128180.0,113940.0,61.63,2022
19-3011,Economists,16370,128180.0,113940.0,61.63,2022
19-3020,Survey Researchers,7880,66440.0,60410.0,31.94,2022
19-3022,Survey Researchers,7880,66440.0,60410.0,31.94,2022
19-3030,Psychologists,138310,96190.0,85330.0,46.25,2022
19-3032,Industrial-Organizational Psychologists,1280,144610.0,139280.0,69.52,2022
19-3033,Clinical and Counseling Psychologists,62880,102740.0,90130.0,49.4,2022
19-3034,School Psychologists,60250,87550.0,81500.0,42.09,2022
19-3039,"Psychologists, All Other",13900,99560.0,106420.0,47.87,2022
19-3040,Sociologists,2980,101310.0,98590.0,48.71,2022
19-3041,Sociologists,2980,101310.0,98590.0,48.71,2022
19-3050,Urban and Regional Planners,39880,82420.0,79540.0,39.63,2022
19-3051,Urban and Regional Planners,39880,82420.0,79540.0,39.63,2022
19-3090,Miscellaneous Social Scientists and Related Workers,50690,92800.0,86070.0,44.61,2022
19-3091,Anthropologists and Archeologists,7350,68310.0,63940.0,32.84,2022
19-3092,Geographers,1360,88960.0,88900.0,42.77,2022
19-3093,Historians,3120,72900.0,64540.0,35.05,2022
19-3094,Political Scientists,5660,126140.0,128020.0,60.64,2022
19-3099,"Social Scientists and Related Workers, All Other",33210,94560.0,88900.0,45.46,2022
19-4000,"Life, Physical, and Social Science Technicians",355310,55900.0,49790.0,26.88,2022
19-4010,Agricultural and Food Science Technicians,27490,48610.0,46140.0,23.37,2022
19-4012,Agricultural Technicians,13140,45640.0,41760.0,21.94,2022
19-4013,Food Science Technicians,14350,51320.0,47860.0,24.68,2022
19-4020,Biological Technicians,73710,53560.0,49650.0,25.75,2022
19-4021,Biological Technicians,73710,53560.0,49650.0,25.75,2022
19-4030,Chemical Technicians,56030,56180.0,50840.0,27.01,2022
19-4031,Chemical Technicians,56030,56180.0,50840.0,27.01,2022
19-4040,Environmental Science and Geoscience Technicians,46010,56140.0,48640.0,26.99,2022
19-4042,"Environmental Science and Protection Technicians, Including Health",33920,53970.0,48380.0,25.95,2022
19-4043,"Geological Technicians, Except Hydrologic Technicians",9170,60810.0,48490.0,29.24,2022
19-4044,Hydrologic Technicians,2920,66640.0,58360.0,32.04,2022
19-4050,Nuclear Technicians,5880,97040.0,100420.0,46.65,2022
19-4051,Nuclear Technicians,5880,97040.0,100420.0,46.65,2022
19-4060,Social Science Research Assistants,28720,57760.0,50470.0,27.77,2022
19-4061,Social Science Research Assistants,28720,57760.0,50470.0,27.77,2022
19-4070,Forest and Conservation Technicians,29120,45000.0,41520.0,21.64,2022
19-4071,Forest and Conservation Technicians,29120,45000.0,41520.0,21.64,2022
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",88360,60070.0,53370.0,28.88,2022
19-4092,Forensic Science Technicians,17590,69260.0,63740.0,33.3,2022
19-4099,"Life, Physical, and Social Science Technicians, All Other",70770,57790.0,50290.0,27.78,2022
19-5000,Occupational Health and Safety Specialists and Technicians,133100,78750.0,75240.0,37.86,2022
19-5010,Occupational Health and Safety Specialists and Technicians,133100,78750.0,75240.0,37.86,2022
19-5011,Occupational Health and Safety Specialists,109430,82110.0,78570.0,39.47,2022
19-5012,Occupational Health and Safety Technicians,23670,63230.0,57970.0,30.4,2022
21-0000,Community and Social Service Occupations,2313620,55760.0,49380.0,26.81,2022
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2225730,55660.0,49330.0,26.76,2022
21-1010,Counselors,834740,58400.0,51180.0,28.08,2022
21-1012,"Educational, Guidance, and Career Counselors and Advisors",308000,64200.0,60140.0,30.87,2022
21-1013,Marriage and Family Therapists,62080,63300.0,56570.0,30.44,2022
21-1015,Rehabilitation Counselors,82420,46020.0,39990.0,22.13,2022
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",344970,56230.0,49710.0,27.03,2022
21-1019,"Counselors, All Other",37270,49770.0,43390.0,23.93,2022
21-1020,Social Workers,689750,59440.0,55350.0,28.58,2022
21-1021,"Child, Family, and School Social Workers",344770,56680.0,50820.0,27.25,2022
21-1022,Healthcare Social Workers,182420,62760.0,60280.0,30.17,2022
21-1023,Mental Health and Substance Abuse Social Workers,107940,60130.0,51240.0,28.91,2022
21-1029,"Social Workers, All Other",54620,64360.0,61420.0,30.94,2022
21-1090,Miscellaneous Community and Social Service Specialists,701240,48680.0,44050.0,23.4,2022
21-1091,Health Education Specialists,56190,66710.0,59990.0,32.07,2022
21-1092,Probation Officers and Correctional Treatment Specialists,89920,64920.0,59860.0,31.21,2022
21-1093,Social and Human Service Assistants,399560,41600.0,38520.0,20.0,2022
21-1094,Community Health Workers,61300,49900.0,46190.0,23.99,2022
21-1099,"Community and Social Service Specialists, All Other",94270,51620.0,47290.0,24.82,2022
21-2000,Religious Workers,87890,58480.0,50680.0,28.11,2022
21-2010,Clergy,53140,60180.0,55550.0,28.93,2022
21-2011,Clergy,53140,60180.0,55550.0,28.93,2022
21-2020,"Directors, Religious Activities and Education",24030,60540.0,49380.0,29.11,2022
21-2021,"Directors, Religious Activities and Education",24030,60540.0,49380.0,29.11,2022
21-2090,Miscellaneous Religious Workers,10720,45420.0,39370.0,21.84,2022
21-2099,"Religious Workers, All Other",10720,45420.0,39370.0,21.84,2022
23-0000,Legal Occupations,1216600,124540.0,95170.0,59.87,2022
23-1000,"Lawyers, Judges, and Related Workers",771200,159710.0,133510.0,76.78,2022
23-1010,Lawyers and Judicial Law Clerks,722710,161680.0,134140.0,77.73,2022
23-1011,Lawyers,707160,163770.0,135740.0,78.74,2022
23-1012,Judicial Law Clerks,15540,66310.0,57490.0,31.88,2022
23-1020,"Judges, Magistrates, and Other Judicial Workers",48500,130380.0,113600.0,62.68,2022
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",12490,97250.0,94990.0,46.75,2022
23-1022,"Arbitrators, Mediators, and Conciliators",7780,98920.0,64030.0,47.56,2022
23-1023,"Judges, Magistrate Judges, and Magistrates",28230,153700.0,151030.0,73.9,2022
23-2000,Legal Support Workers,445400,63640.0,58810.0,30.6,2022
23-2010,Paralegals and Legal Assistants,345240,62840.0,59200.0,30.21,2022
23-2011,Paralegals and Legal Assistants,345240,62840.0,59200.0,30.21,2022
23-2090,Miscellaneous Legal Support Workers,100160,66390.0,56850.0,31.92,2022
23-2093,"Title Examiners, Abstractors, and Searchers",53680,57030.0,50490.0,27.42,2022
23-2099,"Legal Support Workers, All Other",46480,77200.0,62340.0,37.11,2022
25-0000,Educational Instruction and Library Occupations,8496780,63240.0,57490.0,30.41,2022
25-1000,Postsecondary Teachers,1380290,96130.0,79080.0,,2022
25-1010,"Business Teachers, Postsecondary",78410,108060.0,88790.0,,2022
25-1011,"Business Teachers, Postsecondary",78410,108060.0,88790.0,,2022
25-1020,"Math and Computer Science Teachers, Postsecondary",80430,93690.0,79810.0,,2022
25-1021,"Computer Science Teachers, Postsecondary",33870,98610.0,84760.0,,2022
25-1022,"Mathematical Science Teachers, Postsecondary",46560,90110.0,77420.0,,2022
25-1030,"Engineering and Architecture Teachers, Postsecondary",42440,112940.0,102810.0,,2022
25-1031,"Architecture Teachers, Postsecondary",6420,104370.0,93220.0,,2022
25-1032,"Engineering Teachers, Postsecondary",36010,114470.0,103550.0,,2022
25-1040,"Life Sciences Teachers, Postsecondary",59420,97650.0,82740.0,,2022
25-1041,"Agricultural Sciences Teachers, Postsecondary",8240,96650.0,85860.0,,2022
25-1042,"Biological Science Teachers, Postsecondary",49920,97800.0,81650.0,,2022
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1270,98160.0,96500.0,,2022
25-1050,"Physical Sciences Teachers, Postsecondary",50900,98880.0,83700.0,,2022
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11150,107540.0,97770.0,,2022
25-1052,"Chemistry Teachers, Postsecondary",20650,95250.0,80720.0,,2022
25-1053,"Environmental Science Teachers, Postsecondary",6240,91450.0,83040.0,,2022
25-1054,"Physics Teachers, Postsecondary",12860,100810.0,86550.0,,2022
25-1060,"Social Sciences Teachers, Postsecondary",112710,94480.0,80910.0,,2022
