anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total,soc_6digit,OCC_CODE,OCC_TITLE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,H_PCT10,H_PCT25,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_PCT75,A_PCT90
"portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.",9115.0,27-2011.00,7649.0,"Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.",Core,Actors,"Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.",exact,100.0,2,1.0,45.42,4.73,98.07,4.A.4.a.8.I01.D05,Entertain public with comedic or dramatic performances.,4.A.4.a.8.I01,0.4616564417177914,0.5270935960591134,0.0992167101827675,0.3356545961002787,27-2011,27-2011,Actors,38800.0,44.4,,23.33,,14.0,16.94,41.09,97.19,,,,
"read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",8815.0,15-1211.00,3480.0,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",Core,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",exact,100.0,3,5.0,50.71,3.21,76.98,4.A.1.a.1.I02.D07,Read documents to gather technical information.,4.A.1.a.1.I02,0.7055214723926381,0.4384236453201969,0.5874673629242819,0.6692200557103064,15-1211,15-1211,Computer Systems Analysts,497800.0,53.83,111960.0,49.9,103790.0,30.36,38.89,63.64,79.82,63160.0,80900.0,132360.0,166030.0
"compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",7532.0,15-1251.00,1269.0,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,3.56,99.79,4.A.3.b.6.I09.D05,Document design or development procedures.,4.A.3.b.6.I09,0.8726993865030674,0.4187192118226601,0.1697127937336814,0.5139275766016714,15-1251,15-1251,Computer Programmers,109870.0,49.83,103640.0,47.44,98670.0,25.09,34.55,62.0,77.93,52190.0,71860.0,128960.0,162090.0
"diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",7442.0,15-1244.00,15205.0,"Diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",Core,Network and Computer Systems Administrators,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",exact,100.0,4,6.0,52.37,4.08,97.96,4.A.3.b.1.I04.D01; 4.A.3.b.1.I04.D02; 4.A.3.b.1.I04.D03,Resolve computer network problems.; Resolve computer software problems.; Troubleshoot issues with computer applications or systems.,4.A.3.b.1.I04,0.6042944785276072,0.2446633825944171,0.5456919060052219,0.5188022284122564,15-1244,15-1244,Network and Computer Systems Administrators,318570.0,48.65,101190.0,46.54,96800.0,29.0,36.47,59.32,72.27,60320.0,75860.0,123390.0,150320.0
"document software defects, using a bug tracking system, and report defects to software developers.",7363.0,15-1253.00,14641.0,"Document software defects, using a bug tracking system, and report defects to software developers.",Core,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,4.68,100.0,4.A.2.a.2.I03.D02; 4.A.4.a.2.I08.D08,Compile technical information or documentation.; Report maintenance or equipment problems to appropriate personnel.,4.A.2.a.2.I03; 4.A.4.a.2.I08,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057,15-1253,15-1253,Software Quality Assurance Analysts and Testers,199800.0,53.01,110260.0,49.33,102610.0,29.18,38.23,63.4,80.27,60690.0,79520.0,131870.0,166960.0
"write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",6941.0,15-1251.00,1273.0,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,4.42,93.78,4.A.2.b.2.I02.D07; 4.A.3.b.1.I01.D03,Modify software programs to improve performance.; Write computer programming code.,4.A.2.b.2.I02; 4.A.3.b.1.I01,0.8726993865030674,0.4187192118226601,0.1697127937336814,0.5139275766016714,15-1251,15-1251,Computer Programmers,109870.0,49.83,103640.0,47.44,98670.0,25.09,34.55,62.0,77.93,52190.0,71860.0,128960.0,162090.0
"use computers for various applications, such as database management or word processing.",5838.0,43-6014.00,20280.0,"Use computers for various applications, such as database management or word processing.",Core,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Perform routine administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers.",exact,100.0,2,2.0,49.9,4.22,100.0,4.A.3.b.1.I05.D01,Operate computers or computerized equipment.,4.A.3.b.1.I05,0.4003067484662577,0.3316912972085385,0.2767624020887728,0.3196378830083567,43-6014,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1737820.0,22.9,47640.0,22.26,46290.0,15.19,18.16,26.76,30.84,31600.0,37770.0,55650.0,64150.0
"review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",5475.0,15-1211.00,3478.0,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",Supplemental,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",exact,100.0,3,5.0,50.71,3.6,65.95,4.A.2.a.4.I07.D14,Analyze data to identify or resolve operational problems.,4.A.2.a.4.I07,0.7055214723926381,0.4384236453201969,0.5874673629242819,0.6692200557103064,15-1211,15-1211,Computer Systems Analysts,497800.0,53.83,111960.0,49.9,103790.0,30.36,38.89,63.64,79.82,63160.0,80900.0,132360.0,166030.0
"prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",5300.0,27-3041.00,1776.0,"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",Core,Editors,"Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.",exact,100.0,4,6.0,80.43,4.3,97.96,4.A.2.b.1.I07.D01,Edit written materials.,4.A.2.b.1.I07,0.682515337423313,0.5484400656814451,0.2193211488250652,0.5090529247910864,27-3041,27-3041,Editors,95480.0,41.2,85700.0,36.18,75260.0,17.4,24.14,48.66,67.71,36200.0,50210.0,101210.0,140840.0
"store, retrieve, and manipulate data for analysis of system capabilities and requirements.",4863.0,15-1252.00,21676.0,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",exact,100.0,4,,,,,4.A.2.a.1.I07.D06; 4.A.3.b.1.I06.D07,Assess database performance.; Prepare data for analysis.,4.A.2.a.1.I07; 4.A.3.b.1.I06,,,,,15-1252,15-1252,Software Developers,1654440.0,69.5,144570.0,63.98,133080.0,38.39,49.55,81.25,101.66,79850.0,103050.0,169000.0,211450.0
provide feedback and recommendations to developers on software usability and functionality.,4824.0,15-1253.00,14653.0,Provide feedback and recommendations to developers on software usability and functionality.,Core,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,4.27,97.06,4.A.4.b.6.I04.D06,Recommend changes to improve computer or information systems.,4.A.4.b.6.I04,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057,15-1253,15-1253,Software Quality Assurance Analysts and Testers,199800.0,53.01,110260.0,49.33,102610.0,29.18,38.23,63.4,80.27,60690.0,79520.0,131870.0,166960.0
"develop factors such as themes, plots, characterizations, psychological analyses, historical environments, action, and dialogue, to create material.",4631.0,27-3043.05,11052.0,"Develop factors such as themes, plots, characterizations, psychological analyses, historical environments, action, and dialogue to create material.",Core,"Poets, Lyricists and Creative Writers","Create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance.",exact,100.0,4,6.0,31.82,4.67,95.45,4.A.3.b.6.I16.D02,Write material for artistic or entertainment purposes.,4.A.3.b.6.I16,0.710122699386503,0.2857142857142858,0.1514360313315927,0.3739554317548749,27-3043,27-3043,Writers and Authors,47800.0,41.24,85780.0,34.75,72270.0,19.75,25.43,47.27,64.27,41080.0,52890.0,98320.0,133680.0
contact new or existing customers to discuss how specific products or services can meet their needs.,4535.0,41-4011.00,20609.0,Contact new or existing customers to discuss how specific products or services can meet their needs.,Core,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education.",exact,100.0,4,6.0,39.48,4.07,94.64,4.A.4.a.6.I03.D05,Contact current or potential customers to promote products or services.,4.A.4.a.6.I03,0.3052147239263803,0.4269293924466338,0.1174934725848563,0.2318941504178273,41-4011,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",293930.0,55.06,114520.0,48.11,100070.0,23.48,31.56,70.26,93.7,48840.0,65640.0,146150.0,194890.0
"conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",4436.0,15-1221.00,14629.0,"Conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",Core,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",exact,100.0,5,6.0,36.22,3.61,93.37,4.A.2.a.4.I04.D02,Analyze data to identify trends or relationships among variables.,4.A.2.a.4.I04,0.9064417177914113,0.48440065681445,0.3629242819843342,0.6601671309192203,15-1221,15-1221,Computer and Information Research Scientists,38480.0,73.23,152310.0,67.74,140910.0,38.78,49.38,87.12,111.6,80670.0,102710.0,181210.0,232120.0
correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,4402.0,15-1251.00,1267.0,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,4.38,93.87,4.A.1.b.2.I08.D03; 4.A.3.b.1.I04.D03,Resolve computer software problems.; Test software performance.,4.A.1.b.2.I08; 4.A.3.b.1.I04,0.8726993865030674,0.4187192118226601,0.1697127937336814,0.5139275766016714,15-1251,15-1251,Computer Programmers,109870.0,49.83,103640.0,47.44,98670.0,25.09,34.55,62.0,77.93,52190.0,71860.0,128960.0,162090.0
"identify, investigate, or resolve security breaches.",4065.0,11-3013.01,21298.0,"Identify, investigate, or resolve security breaches.",,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",exact,100.0,4,,,,,4.A.1.a.2.I07.D07,Maintain surveillance of individuals or establishments.,4.A.1.a.2.I07,,,,,11-3013,11-3013,Facilities Managers,141090.0,55.06,114520.0,50.33,104690.0,30.07,38.54,65.22,83.21,62550.0,80150.0,135650.0,173080.0
"keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",4029.0,43-4051.00,2578.0,"Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",Core,Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",exact,100.0,2,2.0,54.76,4.53,82.21,4.A.3.b.6.I10.D03,Maintain financial or account records.,4.A.3.b.6.I10,0.4969325153374233,0.497536945812808,0.3237597911227153,0.4589136490250698,43-4051,43-4051,Customer Service Representatives,2725930.0,21.82,45380.0,20.59,42830.0,14.75,17.29,24.11,30.16,30690.0,35970.0,50140.0,62730.0
assess the usefulness of pre-developed application packages and adapt them to a user environment.,4002.0,15-1211.00,3475.0,Assess the usefulness of pre-developed application packages and adapt them to a user environment.,Core,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",exact,100.0,3,5.0,50.71,3.34,86.76,4.A.2.a.1.I07.D08; 4.A.2.b.2.I02.D07,Evaluate utility of software or hardware technologies.; Modify software programs to improve performance.,4.A.2.a.1.I07; 4.A.2.b.2.I02,0.7055214723926381,0.4384236453201969,0.5874673629242819,0.6692200557103064,15-1211,15-1211,Computer Systems Analysts,497800.0,53.83,111960.0,49.9,103790.0,30.36,38.89,63.64,79.82,63160.0,80900.0,132360.0,166030.0
"evaluate and grade students' class work, assignments, and papers.",3987.0,25-1011.00,5663.0,"Evaluate and grade students' class work, assignments, and papers.",Core,"Business Teachers, Postsecondary","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",exact,100.0,5,11.0,72.77,4.59,100.0,4.A.2.a.1.I03.D04,Evaluate student work.,4.A.2.a.1.I03,0.682515337423313,0.5254515599343187,0.1827676240208877,0.4798050139275768,25-1011,25-1011,"Business Teachers, Postsecondary",81780.0,,113840.0,,97270.0,,,,,46460.0,63040.0,140360.0,210530.0
prepare appropriate formatting to data sets as requested.,3973.0,15-2051.02,16268.0,Prepare appropriate formatting to data sets as requested.,Core,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",exact,100.0,4,6.0,85.0,4.0,90.0,4.A.3.b.1.I06.D07,Prepare data for analysis.,4.A.3.b.1.I06,0.6319018404907975,0.5582922824302134,0.0809399477806788,0.4164345403899721,15-2051,15-2051,Data Scientists,233440.0,59.9,124590.0,54.13,112590.0,30.6,39.73,74.91,93.47,63650.0,82630.0,155810.0,194410.0
"perform initial debugging procedures by reviewing configuration files, logs, or code pieces to determine breakdown source.",3773.0,15-1253.00,14661.0,"Perform initial debugging procedures by reviewing configuration files, logs, or code pieces to determine breakdown source.",Core,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,3.66,85.29,4.A.1.a.1.I02.D07; 4.A.1.b.2.I08.D03,Read documents to gather technical information.; Test software performance.,4.A.1.a.1.I02; 4.A.1.b.2.I08,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057,15-1253,15-1253,Software Quality Assurance Analysts and Testers,199800.0,53.01,110260.0,49.33,102610.0,29.18,38.23,63.4,80.27,60690.0,79520.0,131870.0,166960.0
